file,threshold,winner,plurality_match,IRV_match,top-two_match,borda-pm_match,borda-om_match,borda-avg_match,top-3-truncation_match,condorcet_match,minimax_match,smith_plurality_match,smith_irv_match,smith-minimax_match,ranked-pairs_match,bucklin_match,approval_match,smith_match
Ward2-Prestwick_s-ayrshire12-02.csv,OM,Hugh HUNTER (Con),no_match,match,no_match,match,no_match,no_match,no_match,match,match,match,match,match,match,match,match,match
Ward2-Prestwick_s-ayrshire12-02.csv,PM,Hugh HUNTER (Con),no_match,match,no_match,match,no_match,no_match,no_match,match,match,match,match,match,match,match,match,match
Ward2-Prestwick_s-ayrshire12-02.csv,AVG,Hugh HUNTER (Con),no_match,match,no_match,match,no_match,no_match,no_match,match,match,match,match,match,match,match,match,match
Ward6-Kyle_s-ayrshire12-06.csv,OM,Andy CAMPBELL (Lab),match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Ward6-Kyle_s-ayrshire12-06.csv,PM,Andy CAMPBELL (Lab),match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Ward6-Kyle_s-ayrshire12-06.csv,AVG,Andy CAMPBELL (Lab),match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Ward1-Troon_s-ayrshire12-01.csv,OM,Peter CONVERY (Con),match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Ward1-Troon_s-ayrshire12-01.csv,PM,Peter CONVERY (Con),match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Ward1-Troon_s-ayrshire12-01.csv,AVG,Peter CONVERY (Con),match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Ward7-MayboleNorthCarrickandCoylton_s-ayrshire12-07.csv,OM,Brian CONNOLLY (Ind),match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Ward7-MayboleNorthCarrickandCoylton_s-ayrshire12-07.csv,PM,Brian CONNOLLY (Ind),match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
