file,threshold,winner,plurality_match,IRV_match,top-two_match,borda-pm_match,borda-om_match,borda-avg_match,top-3-truncation_match,condorcet_match,minimax_match,smith_plurality_match,smith_irv_match,smith-minimax_match,ranked-pairs_match,bucklin_match,approval_match,smith_match
Alaska_11082022_HouseDistrict35.csv,AVG,"Carrick, Ashley E.",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11082022_HouseDistrict19.csv,OM,"Mina, Genevieve G.",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11082022_HouseDistrict19.csv,PM,"Mina, Genevieve G.",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11082022_HouseDistrict19.csv,AVG,"Mina, Genevieve G.",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11082022_HouseDistrict31.csv,OM,"Dibert, Maxine L.",match,match,match,match,match,match,match,match,match,match,match,match,match,match,no_match,match
Alaska_11082022_HouseDistrict31.csv,PM,"Dibert, Maxine L.",match,match,match,match,match,match,match,match,match,match,match,match,match,match,no_match,match
Alaska_11082022_HouseDistrict31.csv,AVG,"Dibert, Maxine L.",match,match,match,match,match,match,match,match,match,match,match,match,match,match,no_match,match
Alaska_11082022_HouseDistrict25.csv,OM,"Johnson, DeLena M.",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11082022_HouseDistrict25.csv,PM,"Johnson, DeLena M.",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11082022_HouseDistrict25.csv,AVG,"Johnson, DeLena M.",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11082022_HouseDistrict24.csv,OM,"Saddler, Dan",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11082022_HouseDistrict24.csv,PM,"Saddler, Dan",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11082022_HouseDistrict24.csv,AVG,"Saddler, Dan",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11082022_HouseDistrict30.csv,OM,"McCabe, Kevin J.",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11082022_HouseDistrict30.csv,PM,"McCabe, Kevin J.",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11082022_HouseDistrict30.csv,AVG,"McCabe, Kevin J.",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11082022_HouseDistrict18.csv,OM,"Groh, Cliff",no_match,match,match,no_match,match,match,match,match,match,match,match,match,match,match,no_match,match
Alaska_11082022_HouseDistrict18.csv,PM,"Groh, Cliff",no_match,match,match,no_match,match,match,match,match,match,match,match,match,match,match,no_match,match
Alaska_11082022_HouseDistrict18.csv,AVG,"Groh, Cliff",no_match,match,match,no_match,match,match,match,match,match,match,match,match,match,match,no_match,match
Alaska_11082022_HouseDistrict26.csv,OM,"Tilton, Cathy L.",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11082022_HouseDistrict26.csv,PM,"Tilton, Cathy L.",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11082022_HouseDistrict26.csv,AVG,"Tilton, Cathy L.",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11082022_HouseDistrict32.csv,OM,"Stapp, Will B.",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11082022_HouseDistrict32.csv,PM,"Stapp, Will B.",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11082022_HouseDistrict32.csv,AVG,"Stapp, Will B.",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11052024_StateHouseD40.csv,OM,"Burke, Robyn ""Niayuq""",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11052024_StateHouseD40.csv,PM,"Burke, Robyn ""Niayuq""",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11052024_StateHouseD40.csv,AVG,"Burke, Robyn ""Niayuq""",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11082022_HouseDistrict33.csv,OM,"Prax, Glenn M. ""Mike""",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11082022_HouseDistrict33.csv,PM,"Prax, Glenn M. ""Mike""",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11082022_HouseDistrict33.csv,AVG,"Prax, Glenn M. ""Mike""",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11082022_HouseDistrict27.csv,OM,"Eastman, David",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11082022_HouseDistrict27.csv,PM,"Eastman, David",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11082022_HouseDistrict27.csv,AVG,"Eastman, David",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11082022_HouseDistrict40.csv,OM,"Patkotak, Josiah B. ""Aullaqsruaq""",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11082022_HouseDistrict40.csv,PM,"Patkotak, Josiah B. ""Aullaqsruaq""",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11082022_HouseDistrict40.csv,AVG,"Patkotak, Josiah B. ""Aullaqsruaq""",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11052024_StateHouseD33.csv,OM,"Prax, Glenn ""Mike""",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11052024_StateHouseD33.csv,PM,"Prax, Glenn ""Mike""",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11052024_StateHouseD33.csv,AVG,"Prax, Glenn ""Mike""",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11052024_StateHouseD27.csv,OM,"Underwood, Jubilee L.",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11052024_StateHouseD27.csv,PM,"Underwood, Jubilee L.",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11052024_StateHouseD27.csv,AVG,"Underwood, Jubilee L.",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11082022_HouseDistrict1.csv,OM,"Ortiz, Daniel H. ""Dan""",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11082022_HouseDistrict1.csv,PM,"Ortiz, Daniel H. ""Dan""",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11082022_HouseDistrict1.csv,AVG,"Ortiz, Daniel H. ""Dan""",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11052024_StateHouseD26.csv,OM,"Tilton, Cathy",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11052024_StateHouseD26.csv,PM,"Tilton, Cathy",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11052024_StateHouseD26.csv,AVG,"Tilton, Cathy",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11052024_StateHouseD32.csv,OM,"Stapp, Will",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11052024_StateHouseD32.csv,PM,"Stapp, Will",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11052024_StateHouseD32.csv,AVG,"Stapp, Will",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11052024_StateHouseD1.csv,OM,"Bynum, Jeremy T.",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11052024_StateHouseD1.csv,PM,"Bynum, Jeremy T.",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11052024_StateHouseD1.csv,AVG,"Bynum, Jeremy T.",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11082022_SenateDistrictA.csv,OM,"Stedman, Bert K.",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11082022_SenateDistrictA.csv,PM,"Stedman, Bert K.",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11082022_SenateDistrictA.csv,AVG,"Stedman, Bert K.",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11052024_StateSenateJ.csv,OM,"Dunbar, Forrest",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11052024_StateSenateJ.csv,PM,"Dunbar, Forrest",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11052024_StateSenateJ.csv,AVG,"Dunbar, Forrest",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11052024_StateSenateH.csv,OM,"Claman, Matt",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11052024_StateSenateH.csv,PM,"Claman, Matt",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11052024_StateSenateH.csv,AVG,"Claman, Matt",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11082022_SenateDistrictC.csv,OM,"Stevens, Gary",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11082022_SenateDistrictC.csv,PM,"Stevens, Gary",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11082022_SenateDistrictC.csv,AVG,"Stevens, Gary",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11052024_StateHouseD3.csv,OM,"Story, Andrea ""Andi""",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11052024_StateHouseD3.csv,PM,"Story, Andrea ""Andi""",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11052024_StateHouseD3.csv,AVG,"Story, Andrea ""Andi""",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11052024_StateHouseD24.csv,OM,"Saddler, Dan",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11052024_StateHouseD24.csv,PM,"Saddler, Dan",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11052024_StateHouseD24.csv,AVG,"Saddler, Dan",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11052024_StateHouseD30.csv,OM,"McCabe, Kevin J.",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11052024_StateHouseD30.csv,PM,"McCabe, Kevin J.",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11052024_StateHouseD30.csv,AVG,"McCabe, Kevin J.",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
Alaska_11052024_StateHouseD18.csv,OM,"Nelson, David",match,match,match,match,match,match,match,match,match,match,match,match,match,match,match,match
