file,0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09
CastleWard_stirling12-04.csv__hit21,Jim THOMSON (SNP),John HENDRY (Lab),Jim THOMSON (SNP),John HENDRY (Lab),Johanna BOYD (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
CastleWard_stirling12-04.csv__hit22,Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Johanna BOYD (Lab),John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
CastleWard_stirling12-04.csv__hit23,Jim THOMSON (SNP),John HENDRY (Lab),Jim THOMSON (SNP),John HENDRY (Lab),Jim THOMSON (SNP),Johanna BOYD (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
CastleWard_stirling12-04.csv__hit24,John HENDRY (Lab),John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
CastleWard_stirling12-04.csv__hit25,Jim THOMSON (SNP),Johanna BOYD (Lab),John HENDRY (Lab),Jim THOMSON (SNP),Johanna BOYD (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
CastleWard_stirling12-04.csv__hit26,Jim THOMSON (SNP),John HENDRY (Lab),Jim THOMSON (SNP),John HENDRY (Lab),Jim THOMSON (SNP),John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
CastleWard_stirling12-04.csv__hit27,Jim THOMSON (SNP),John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Johanna BOYD (Lab),John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
CastleWard_stirling12-04.csv__hit28,John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),John HENDRY (Lab),Johanna BOYD (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
CastleWard_stirling12-04.csv__hit29,Jim THOMSON (SNP),John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab),Johanna BOYD (Lab),John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
CastleWard_stirling12-04.csv__hit30,John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab),Johanna BOYD (Lab),John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab)
CastleWard_stirling12-04.csv__hit31,Jim THOMSON (SNP),John HENDRY (Lab),Jim THOMSON (SNP),Johanna BOYD (Lab),Johanna BOYD (Lab),John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
CastleWard_stirling12-04.csv__hit32,John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab),Johanna BOYD (Lab),John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab)
CastleWard_stirling12-04.csv__hit33,John HENDRY (Lab),Johanna BOYD (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Johanna BOYD (Lab),John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
