file,0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09
Minneapolis_11022021_CityCouncilWard2.csv__hit23,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Yusra Arab,Yusra Arab,Robin Wonsley Worlobah,Robin Wonsley Worlobah
Minneapolis_11022021_CityCouncilWard2.csv__hit24,Yusra Arab,Yusra Arab,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Yusra Arab,Yusra Arab,Yusra Arab,Yusra Arab
Minneapolis_11022021_CityCouncilWard2.csv__hit25,Yusra Arab,Yusra Arab,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Yusra Arab,Yusra Arab,Yusra Arab,Yusra Arab
Minneapolis_11022021_CityCouncilWard2.csv__hit26,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Yusra Arab,Yusra Arab
Minneapolis_11022021_CityCouncilWard2.csv__hit27,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Cam Gordon,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab,Robin Wonsley Worlobah,Cam Gordon,Robin Wonsley Worlobah
Minneapolis_11022021_CityCouncilWard2.csv__hit28,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Cam Gordon,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Robin Wonsley Worlobah
Minneapolis_11022021_CityCouncilWard2.csv__hit29,Yusra Arab,Yusra Arab,Cam Gordon,Cam Gordon,Cam Gordon,Yusra Arab,Yusra Arab,Yusra Arab,Yusra Arab,Yusra Arab
Minneapolis_11022021_CityCouncilWard2.csv__hit30,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Yusra Arab,Yusra Arab,Robin Wonsley Worlobah,Cam Gordon
Minneapolis_11022021_CityCouncilWard2.csv__hit31,Yusra Arab,Yusra Arab,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab,Yusra Arab,Yusra Arab,Yusra Arab,Yusra Arab
Minneapolis_11022021_CityCouncilWard2.csv__hit32,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Yusra Arab,Yusra Arab,Robin Wonsley Worlobah,Cam Gordon
