file,candidate_cloned,percent,numCands,om,om_tie_path,om_tie_dropped,avg,avg_tie_path,avg_tie_dropped,pm,pm_tie_path,pm_tie_dropped
APA 2005.csv,Cand 3,0.5,6,Cand 1,,,Cand 1,,,Cand 1,,
APA 2005.csv,Cand 1,0.5,6,Clone,,,Clone,,,Clone,,
APA 2005.csv,Cand 4,0.5,6,Cand 1,,,Cand 1,,,Cand 1,,
APA 2005.csv,Cand 0,0.5,6,Clone,,,Cand 1,,,Cand 1,,
APA 2005.csv,Cand 2,0.5,6,Cand 1,,,Cand 1,,,Cand 1,,
APA 2006.csv,none,0,5,Cand 2,,,Cand 2,,,Cand 2,,
APA 2006.csv,Cand 2,0.0,6,Cand 2,,,Cand 2,,,Cand 2,,
APA 2006.csv,Cand 1,0.0,6,Cand 2,,,Cand 2,,,Cand 2,,
APA 2006.csv,Cand 3,0.0,6,Cand 2,,,Cand 2,,,Cand 2,,
APA 2006.csv,Cand 4,0.0,6,Cand 2,,,Cand 2,,,Cand 2,,
APA 2006.csv,Cand 0,0.0,6,Cand 2,,,Cand 2,,,Cand 2,,
APA 2006.csv,Cand 2,0.1,6,Cand 2,,,Cand 2,,,Cand 2,,
APA 2006.csv,Cand 1,0.1,6,Cand 2,,,Cand 2,,,Cand 2,,
APA 2006.csv,Cand 3,0.1,6,Cand 2,,,Cand 2,,,Cand 2,,
APA 2006.csv,Cand 4,0.1,6,Cand 2,,,Cand 2,,,Cand 2,,
APA 2006.csv,Cand 0,0.1,6,Cand 2,,,Cand 2,,,Cand 2,,
APA 2006.csv,Cand 2,0.2,6,Cand 2,,,Cand 2,,,Cand 2,,
APA 2006.csv,Cand 1,0.2,6,Cand 2,,,Cand 2,,,Cand 2,,
APA 2006.csv,Cand 3,0.2,6,Cand 2,,,Cand 2,,,Cand 2,,
APA 2006.csv,Cand 4,0.2,6,Cand 2,,,Cand 2,,,Cand 2,,
