election_id,num_candidates,total_ballot_weight,expected_rows
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit66",5,1993.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit67",5,1995.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit68",5,1990.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit69",5,1995.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit70",5,1992.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit71",5,1995.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit72",5,1997.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit73",5,1992.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit74",5,1987.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit75",5,1994.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit76",5,1996.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit77",5,1993.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit78",5,1994.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit79",5,1997.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit80",5,1989.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit81",5,1995.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit82",5,1996.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit83",5,1995.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit84",5,1989.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit85",5,1996.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit86",5,1998.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit87",5,1989.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit88",5,1998.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit89",5,1996.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit90",5,1997.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit91",5,1994.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit92",5,1997.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit93",5,1990.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit94",5,1989.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit95",5,1991.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit96",5,1991.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit97",5,1998.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit98",5,1989.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit99",5,1992.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit100",5,1996.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit101",5,1996.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit102",5,1995.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit103",5,1996.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit104",5,1993.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit105",5,1996.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit106",5,1993.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit107",5,1992.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit108",5,1996.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit109",5,1988.0,21
