election_id,plurality,IRV,top-two,borda-pm,borda-om,borda-avg,top-3-truncation,condorcet,minimax,smith-plurality,smith-irv,smith-minimax,ranked-pairs,bucklin,smith,tvr-om,tvr-avg,tvr-pm,diversity-0,diversity-1,diversity-2,diversity-3,diversity-4,diversity-5,diversity-6,diversity-7,diversity-8,diversity-9,diversity-10
NSW_Local_Government_2024_Murray_River_-_Moama_Ward 3 seats.csv__hit103,"['HARVIE John']","['HARVIE John']","['HARVIE John']","['HARVIE John']","['HURN Bianca']","['HARVIE John']","['HARVIE John']","[]","['HARVIE John']","['HARVIE John']","['HARVIE John']","['HARVIE John']","['HARVIE John']","['HURN Bianca']","['HURN Bianca', 'HARVIE John', 'CAMPBELL Gen']","CAMPBELL Gen","HARVIE John","HARVIE John","HURN Bianca","HARVIE John","HURN Bianca","HARVIE John","CAMPBELL Gen","CAMPBELL Gen","CAMPBELL Gen","CAMPBELL Gen","CAMPBELL Gen","HURN Bianca","HARVIE John"
NSW_Local_Government_2024_Murray_River_-_Moama_Ward 3 seats.csv__hit104,"['HARVIE John']","['HARVIE John']","['HARVIE John']","['HARVIE John']","['HURN Bianca']","['HARVIE John']","['HARVIE John']","[]","['HARVIE John', 'CAMPBELL Gen']","['HARVIE John']","['HARVIE John']","['HARVIE John', 'CAMPBELL Gen']","['CAMPBELL Gen']","['CAMPBELL Gen']","['HURN Bianca', 'HARVIE John', 'CAMPBELL Gen']","CAMPBELL Gen","HARVIE John","HARVIE John","HARVIE John","HARVIE John","HURN Bianca","CAMPBELL Gen","HARVIE John","CAMPBELL Gen","CAMPBELL Gen","CAMPBELL Gen","HARVIE John","HARVIE John","HARVIE John"
NSW_Local_Government_2024_Murray_River_-_Moama_Ward 3 seats.csv__hit105,"['HARVIE John']","['HARVIE John']","['HARVIE John']","['HARVIE John']","['CAMPBELL Gen']","['HARVIE John']","['HARVIE John']","[]","['HARVIE John']","['HARVIE John']","['HARVIE John']","['HARVIE John']","['HARVIE John']","['HURN Bianca']","['HURN Bianca', 'HARVIE John', 'CAMPBELL Gen']","CAMPBELL Gen","HARVIE John","HARVIE John","HURN Bianca","HURN Bianca","HURN Bianca","CAMPBELL Gen","CAMPBELL Gen","CAMPBELL Gen","CAMPBELL Gen","CAMPBELL Gen","HURN Bianca","HURN Bianca","HARVIE John"
NSW_Local_Government_2024_Murray_River_-_Moama_Ward 3 seats.csv__hit106,"['HARVIE John']","['HURN Bianca']","['HURN Bianca']","['HURN Bianca']","['HURN Bianca']","['HURN Bianca']","['HURN Bianca']","[]","['HURN Bianca']","['HARVIE John']","['HURN Bianca']","['HURN Bianca']","['HURN Bianca']","['HURN Bianca']","['HARVIE John', 'HURN Bianca', 'CAMPBELL Gen']","CAMPBELL Gen","HURN Bianca","HURN Bianca","HURN Bianca","HURN Bianca","HURN Bianca","CAMPBELL Gen","CAMPBELL Gen","HURN Bianca","CAMPBELL Gen","CAMPBELL Gen","HURN Bianca","HURN Bianca","HURN Bianca"
NSW_Local_Government_2024_Murray_River_-_Moama_Ward 3 seats.csv__hit107,"['HARVIE John']","['HARVIE John']","['HARVIE John']","['HARVIE John']","['HURN Bianca']","['HARVIE John']","['HARVIE John']","[]","['HARVIE John']","['HARVIE John']","['HARVIE John']","['HARVIE John']","['HARVIE John']","['HURN Bianca']","['HARVIE John', 'HURN Bianca', 'CAMPBELL Gen']","CAMPBELL Gen","HURN Bianca","HURN Bianca","HURN Bianca","HARVIE John","HURN Bianca","HARVIE John","HARVIE John","CAMPBELL Gen","CAMPBELL Gen","CAMPBELL Gen","CAMPBELL Gen","HURN Bianca","HARVIE John"
NSW_Local_Government_2024_Murray_River_-_Moama_Ward 3 seats.csv__hit108,"['HARVIE John']","['HARVIE John']","['HARVIE John']","['HARVIE John']","['CAMPBELL Gen']","['HARVIE John']","['HARVIE John']","[]","['HARVIE John']","['HARVIE John']","['HARVIE John']","['HARVIE John']","['HARVIE John']","['HURN Bianca']","['HARVIE John', 'HURN Bianca', 'CAMPBELL Gen']","CAMPBELL Gen","HARVIE John","TIED","HARVIE John","HARVIE John","HARVIE John","HARVIE John","HARVIE John","CAMPBELL Gen","CAMPBELL Gen","CAMPBELL Gen","CAMPBELL Gen","HURN Bianca","HARVIE John"
NSW_Local_Government_2024_Murray_River_-_Moama_Ward 3 seats.csv__hit109,"['HARVIE John']","['HARVIE John']","['HARVIE John']","['HARVIE John']","['HARVIE John']","['HARVIE John']","['HARVIE John']","[]","['HARVIE John']","['HARVIE John']","['HARVIE John']","['HARVIE John']","['HARVIE John']","['HURN Bianca']","['HARVIE John', 'HURN Bianca', 'CAMPBELL Gen']","CAMPBELL Gen","HARVIE John","HARVIE John","HURN Bianca","HARVIE John","HURN Bianca","HARVIE John","HARVIE John","HARVIE John","CAMPBELL Gen","CAMPBELL Gen","CAMPBELL Gen","HURN Bianca","HARVIE John"
NSW_Local_Government_2024_Murray_River_-_Moama_Ward 3 seats.csv__hit110,"['HARVIE John']","['HARVIE John']","['HARVIE John']","['HARVIE John']","['CAMPBELL Gen']","['HARVIE John']","['HARVIE John']","[]","['CAMPBELL Gen']","['HARVIE John']","['HARVIE John']","['CAMPBELL Gen']","['CAMPBELL Gen']","['HURN Bianca']","['HARVIE John', 'HURN Bianca', 'CAMPBELL Gen']","CAMPBELL Gen","HARVIE John","HARVIE John","HARVIE John","HARVIE John","HURN Bianca","HARVIE John","HURN Bianca","HARVIE John","CAMPBELL Gen","CAMPBELL Gen","HURN Bianca","HARVIE John","HARVIE John"
NSW_Local_Government_2024_Murray_River_-_Moama_Ward 3 seats.csv__hit111,"['HARVIE John']","['HARVIE John']","['HARVIE John']","['CAMPBELL Gen']","['CAMPBELL Gen']","['CAMPBELL Gen']","['HARVIE John']","[]","['CAMPBELL Gen']","['HARVIE John']","['HARVIE John']","['CAMPBELL Gen']","['CAMPBELL Gen']","['CAMPBELL Gen']","['HURN Bianca', 'CAMPBELL Gen', 'HARVIE John']","CAMPBELL Gen","HARVIE John","HARVIE John","HARVIE John","HARVIE John","HARVIE John","HARVIE John","HARVIE John","CAMPBELL Gen","CAMPBELL Gen","CAMPBELL Gen","CAMPBELL Gen","HARVIE John","HARVIE John"
NSW_Local_Government_2024_Murray_River_-_Moama_Ward 3 seats.csv__hit112,"['HARVIE John']","['HARVIE John']","['HARVIE John']","['HARVIE John']","['HURN Bianca']","['HARVIE John']","['HARVIE John']","[]","['HARVIE John']","['HARVIE John']","['HARVIE John']","['HARVIE John']","['HARVIE John']","['CAMPBELL Gen']","['HURN Bianca', 'CAMPBELL Gen', 'HARVIE John']","CAMPBELL Gen","HARVIE John","HARVIE John","HARVIE John","HARVIE John","HURN Bianca","CAMPBELL Gen","CAMPBELL Gen","HURN Bianca","CAMPBELL Gen","CAMPBELL Gen","CAMPBELL Gen","HARVIE John","HARVIE John"
NSW_Local_Government_2024_Murray_River_-_Moama_Ward 3 seats.csv__hit113,"['HARVIE John']","['HURN Bianca']","['HURN Bianca']","['HURN Bianca']","['HURN Bianca']","['HURN Bianca']","['HURN Bianca']","[]","['HURN Bianca']","['HARVIE John']","['HURN Bianca']","['HURN Bianca']","['HURN Bianca']","['HURN Bianca']","['HURN Bianca', 'CAMPBELL Gen', 'HARVIE John']","CAMPBELL Gen","HURN Bianca","HURN Bianca","HURN Bianca","HURN Bianca","HURN Bianca","HURN Bianca","CAMPBELL Gen","CAMPBELL Gen","CAMPBELL Gen","CAMPBELL Gen","HURN Bianca","HURN Bianca","HURN Bianca"
NSW_Local_Government_2024_Murray_River_-_Moama_Ward 3 seats.csv__hit114,"['HARVIE John']","['HARVIE John']",TIED,"['HURN Bianca']","['HURN Bianca']","['HURN Bianca']","['HURN Bianca']","[]","['CAMPBELL Gen']","['HARVIE John']","['HARVIE John']","['CAMPBELL Gen']","['CAMPBELL Gen']","['HURN Bianca']","['HURN Bianca', 'CAMPBELL Gen', 'HARVIE John']","CAMPBELL Gen","CAMPBELL Gen","HURN Bianca","HURN Bianca","HARVIE John","HURN Bianca","HURN Bianca","HARVIE John","CAMPBELL Gen","CAMPBELL Gen","CAMPBELL Gen","HURN Bianca","HARVIE John","HARVIE John"
NSW_Local_Government_2024_Murray_River_-_Moama_Ward 3 seats.csv__hit115,"['HARVIE John']","['HARVIE John']","['HARVIE John']","['HARVIE John']","['CAMPBELL Gen']","['HARVIE John']","['HARVIE John']","[]","['HARVIE John']","['HARVIE John']","['HARVIE John']","['HARVIE John']","['HARVIE John']","['HURN Bianca']","['HURN Bianca', 'CAMPBELL Gen', 'HARVIE John']","CAMPBELL Gen","HARVIE John","HURN Bianca","HURN Bianca","HARVIE John","HARVIE John","HARVIE John","HARVIE John","CAMPBELL Gen","CAMPBELL Gen","CAMPBELL Gen","HURN Bianca","HURN Bianca","HARVIE John"
NSW_Local_Government_2024_Murray_River_-_Moama_Ward 3 seats.csv__hit116,"['HARVIE John']","['HARVIE John']","['HARVIE John']","['HURN Bianca']","['HURN Bianca']","['HURN Bianca']","['HURN Bianca']","[]","['CAMPBELL Gen']","['HARVIE John']","['HARVIE John']","['CAMPBELL Gen']","['CAMPBELL Gen']","['HURN Bianca']","['CAMPBELL Gen', 'HURN Bianca', 'HARVIE John']","CAMPBELL Gen","CAMPBELL Gen","HARVIE John","HARVIE John","HARVIE John","HURN Bianca","HARVIE John","CAMPBELL Gen","CAMPBELL Gen","CAMPBELL Gen","CAMPBELL Gen","CAMPBELL Gen","HARVIE John","HARVIE John"
NSW_Local_Government_2024_Murray_River_-_Moama_Ward 3 seats.csv__hit117,"['HARVIE John']","['HARVIE John']","['HARVIE John']","['HARVIE John']","['HARVIE John']","['HARVIE John']","['HARVIE John']","[]","['HARVIE John']","['HARVIE John']","['HARVIE John']","['HARVIE John']","['HARVIE John']","['HURN Bianca']","['CAMPBELL Gen', 'HURN Bianca', 'HARVIE John']","CAMPBELL Gen","HARVIE John","HURN Bianca","HARVIE John","HARVIE John","HARVIE John","HARVIE John","HARVIE John","HARVIE John","CAMPBELL Gen","HURN Bianca","HURN Bianca","HURN Bianca","HARVIE John"
NSW_Local_Government_2024_Murray_River_-_Moama_Ward 3 seats.csv__hit118,"['HARVIE John']","['HARVIE John']","['HARVIE John']","['HURN Bianca']","['CAMPBELL Gen', 'HURN Bianca']","['HURN Bianca']","['HURN Bianca']","[]","['HURN Bianca']","['HARVIE John']","['HARVIE John']","['HURN Bianca']","['HURN Bianca']","['HURN Bianca']","['CAMPBELL Gen', 'HURN Bianca', 'HARVIE John']","CAMPBELL Gen","CAMPBELL Gen","HURN Bianca","HARVIE John","HARVIE John","HARVIE John","CAMPBELL Gen","CAMPBELL Gen","CAMPBELL Gen","CAMPBELL Gen","CAMPBELL Gen","HURN Bianca","HURN Bianca","HARVIE John"
NSW_Local_Government_2024_Murray_River_-_Moama_Ward 3 seats.csv__hit119,"['HARVIE John']","['HURN Bianca']","['HURN Bianca']","['HARVIE John']","['HARVIE John']","['HARVIE John']","['HARVIE John']","[]","['HURN Bianca']","['HARVIE John']","['HURN Bianca']","['HURN Bianca']","['HURN Bianca']","['HURN Bianca']","['CAMPBELL Gen', 'HURN Bianca', 'HARVIE John']","CAMPBELL Gen","HURN Bianca","HURN Bianca","CAMPBELL Gen","HURN Bianca","HURN Bianca","HURN Bianca","CAMPBELL Gen","CAMPBELL Gen","CAMPBELL Gen","CAMPBELL Gen","HURN Bianca","HURN Bianca","HURN Bianca"
NSW_Local_Government_2024_Murray_River_-_Moama_Ward 3 seats.csv__hit120,"['HARVIE John']","['HURN Bianca']","['HURN Bianca']","['HARVIE John']","['HARVIE John']","['HARVIE John']","['HARVIE John']","[]","['HARVIE John']","['HARVIE John']","['HURN Bianca']","['HARVIE John']","['HARVIE John']","['HARVIE John']","['CAMPBELL Gen', 'HURN Bianca', 'HARVIE John']","CAMPBELL Gen","HURN Bianca","HURN Bianca","HURN Bianca","HURN Bianca","HURN Bianca","HURN Bianca","CAMPBELL Gen","CAMPBELL Gen","CAMPBELL Gen","CAMPBELL Gen","HURN Bianca","HURN Bianca","HURN Bianca"
NSW_Local_Government_2024_Murray_River_-_Moama_Ward 3 seats.csv__hit121,"['HARVIE John']","['HURN Bianca']","['HARVIE John']","['HARVIE John']","['HARVIE John']","['HARVIE John']","['HARVIE John']","[]","['HARVIE John']","['HARVIE John']","['HURN Bianca']","['HARVIE John']","['HARVIE John']","['HURN Bianca']","['HURN Bianca', 'CAMPBELL Gen', 'HARVIE John']","CAMPBELL Gen","HURN Bianca","HURN Bianca","HURN Bianca","HURN Bianca","HURN Bianca","HURN Bianca","CAMPBELL Gen","CAMPBELL Gen","CAMPBELL Gen","CAMPBELL Gen","HURN Bianca","HURN Bianca","HURN Bianca"
