file,candidate_cloned,percent,unique_winners,diverges,method
Ward21NorthEast_glasgow17-021.csv,Ruairi KELLY SNP,0.4,"['Clone', 'Maureen BURKE Lab']",True,AVG
Ward21NorthEast_glasgow17-021.csv,Stephen DOCHERTY Lab,0.4,"['Maureen BURKE Lab', 'Ruairi KELLY SNP']",True,AVG
Ward4-CumbernauldEast_n-lanarks17-004,Tom JOHNSTON SNP,0.4,"['Clone', 'Tom JOHNSTON SNP']",True,AVG
Ward21NorthEast_glasgow17-021.csv,Carole URE Grn,0.5,"['Maureen BURKE Lab', 'Ruairi KELLY SNP']",True,AVG
Ward21NorthEast_glasgow17-021.csv,Frances HOWELL Con,0.5,"['Maureen BURKE Lab', 'Ruairi KELLY SNP']",True,AVG
Ward21NorthEast_glasgow17-021.csv,Gerry BOYLE Ind,0.5,"['Maureen BURKE Lab', 'Ruairi KELLY SNP']",True,AVG
Ward21NorthEast_glasgow17-021.csv,Jenny KIERNAN Sol,0.5,"['Maureen BURKE Lab', 'Ruairi KELLY SNP']",True,AVG
Ward21NorthEast_glasgow17-021.csv,Mandy MORGAN SNP,0.5,"['Maureen BURKE Lab', 'Ruairi KELLY SNP']",True,AVG
Ward21NorthEast_glasgow17-021.csv,Stephen DOCHERTY Lab,0.5,"['Maureen BURKE Lab', 'Ruairi KELLY SNP']",True,AVG
InvernessWest_PreferenceProfile_V0001_Inverness_West_06052022_161539,Bill BOYD SNP,0.0,['Alex GRAHAM LD'],False,AVG
KirkintillochEastandNorthandTwechar_e-duns17-07.csv,Alison LOTHIAN Con,0.0,['John JAMIESON SNP'],False,AVG
KirkintillochEastandNorthandTwechar_e-duns17-07.csv,Emma SHEPPARD Grn,0.0,['John JAMIESON SNP'],False,AVG
KirkintillochEastandNorthandTwechar_e-duns17-07.csv,John JAMIESON SNP,0.0,['John JAMIESON SNP'],False,AVG
KirkintillochEastandNorthandTwechar_e-duns17-07.csv,Pamela MARSHALL SNP,0.0,['John JAMIESON SNP'],False,AVG
KirkintillochEastandNorthandTwechar_e-duns17-07.csv,Stewart MACDONALD Lab,0.0,['John JAMIESON SNP'],False,AVG
KirkintillochEastandNorthandTwechar_e-duns17-07.csv,Susan MURRAY LD,0.0,['John JAMIESON SNP'],False,AVG
KirkintillochEastandNorthandTwechar_e-duns17-07.csv,Willie PATERSON Ind,0.0,['John JAMIESON SNP'],False,AVG
KirkintillochEastandNorthandTwechar_e-duns17-07.csv,none,0.0,['John JAMIESON SNP'],False,AVG
Ward2-PentlandHills_ward2.csv,Emma GILCHRIST Con,0.0,['Neil Thomas GARDINER SNP'],False,AVG
BlackIsleWard_highland12-10,Isobel MCCALLUM Ind,0.1,['Billy BARCLAY Ind'],False,AVG
Cowal_argyll-bute17-06.csv,Alan REID LD,0.1,['Alan REID LD'],False,AVG
InvernessWest_PreferenceProfile_V0001_Inverness_West_06052022_161539,Bill BOYD SNP,0.1,['Alex GRAHAM LD'],False,AVG
KilpatrickWard_w-duns12-04,Dawn FYFE Soc,0.1,['Douglas MCALLISTER Lab'],False,AVG
KirkintillochEastandNorthandTwechar_e-duns17-07.csv,Alison LOTHIAN Con,0.1,['John JAMIESON SNP'],False,AVG
KirkintillochEastandNorthandTwechar_e-duns17-07.csv,Emma SHEPPARD Grn,0.1,['John JAMIESON SNP'],False,AVG
KirkintillochEastandNorthandTwechar_e-duns17-07.csv,John JAMIESON SNP,0.1,['John JAMIESON SNP'],False,AVG
KirkintillochEastandNorthandTwechar_e-duns17-07.csv,Pamela MARSHALL SNP,0.1,['John JAMIESON SNP'],False,AVG
KirkintillochEastandNorthandTwechar_e-duns17-07.csv,Stewart MACDONALD Lab,0.1,['John JAMIESON SNP'],False,AVG
KirkintillochEastandNorthandTwechar_e-duns17-07.csv,Susan MURRAY LD,0.1,['John JAMIESON SNP'],False,AVG
KirkintillochEastandNorthandTwechar_e-duns17-07.csv,Willie PATERSON Ind,0.1,['John JAMIESON SNP'],False,AVG
MidFormartineWard_aberdeenshire12-08.csv,Braden DAVY Lab,0.1,['Allan HENDRY SNP'],False,AVG
NorthfieldMastrickNorthWard_aberdeen17-04.csv,Sam FORMAN LD,0.1,['Jackie DUNBAR SNP'],False,AVG
Sgir_UigeAgusCeannATuathNanLoch_eilean-siar12-04.csv,Bill HOUSTON SNP,0.1,['Cudig MACLEOD Ind'],False,AVG
Ward1-Troon_south ayrshire2022ward 1,Bob POLLOCK Con,0.1,['Craig MACKAY SNP'],False,AVG
Ward4-WestMainlandWard_ward4,Owen TIERNEY Ind,0.1,['Owen TIERNEY Ind'],False,AVG
Ward5Govan_glasgow12-05.csv,John FLANAGAN Ind,0.1,['James ADAMS Lab'],False,AVG
Cowal_argyll-bute17-06.csv,Alan REID LD,0.2,['Alan REID LD'],False,AVG
InvernessWest_PreferenceProfile_V0001_Inverness_West_06052022_161539,Bill BOYD SNP,0.2,['Alex GRAHAM LD'],False,AVG
KirkcaldyEastWard_fife12-13.csv,Edgar COOK Con,0.2,['Lawrence BROWN Lab'],False,AVG
KirkintillochEastandNorthandTwechar_e-duns17-07.csv,Alison LOTHIAN Con,0.2,['John JAMIESON SNP'],False,AVG
KirkintillochEastandNorthandTwechar_e-duns17-07.csv,Emma SHEPPARD Grn,0.2,['John JAMIESON SNP'],False,AVG
KirkintillochEastandNorthandTwechar_e-duns17-07.csv,John JAMIESON SNP,0.2,['John JAMIESON SNP'],False,AVG
KirkintillochEastandNorthandTwechar_e-duns17-07.csv,Pamela MARSHALL SNP,0.2,['John JAMIESON SNP'],False,AVG
KirkintillochEastandNorthandTwechar_e-duns17-07.csv,Stewart MACDONALD Lab,0.2,['John JAMIESON SNP'],False,AVG
KirkintillochEastandNorthandTwechar_e-duns17-07.csv,Susan MURRAY LD,0.2,['John JAMIESON SNP'],False,AVG
KirkintillochEastandNorthandTwechar_e-duns17-07.csv,Willie PATERSON Ind,0.2,['John JAMIESON SNP'],False,AVG
KirkintillochEastandTwechar_e-duns12-08.csv,Jim NEILL Lab,0.2,['Stewart MACDONALD Lab'],False,AVG
LochaTuath_eilean-siar17-08.csv,Allan Cameron MACLACHLAN Ind,0.2,['Donald Finlayson CRICHTON Ind'],False,AVG
TillydroneSeatonOldAberdeenWard_aberdeen17-06.csv,Alexander MCLELLAN SNP,0.2,['Alexander MCLELLAN SNP'],False,AVG
Ward06-DalryandWestKilbride_n-ayrshire12-06,Elizabeth MCLARDY Ind,0.2,['Robert BARR Ind'],False,AVG
Ward13-Kincorth-Loirston_aberdeen12-13.csv,LD Kate DEAN,0.2,['Lab Neil COONEY'],False,AVG
Ward6-LerwickSouth_ward-6-lerwick-south-preference-profile,John Finlay Sinclair FRASER Ind,0.2,['Dennis LEASK Ind'],False,AVG
Ward6-PaisleySoutheast_Preference_profile_for_Ward_6_Paisley_Southeast_copy,Eddie DEVINE Lab,0.2,['Bruce MACFARLANE SNP'],False,AVG
Ward6-PaisleySoutheast_renfs17-06,Janette SWANSON SNP,0.2,['Marie MCGURK SNP'],False,AVG
Ward7Langside_glasgow12-07-recalc.csv,Paul COLESHILL LD,0.2,['Archie GRAHAM Lab'],False,AVG
Ward8-KelsoDistrict_sc-borders17-08,Alison LAMOND SNP,0.2,['Tom WEATHERSTON Con'],False,AVG
Ward9Calton_glasgow12-09.csv,Alison THEWLISS SNP,0.2,['George REDMOND Lab'],False,AVG
7.JohnstoneSouthElderslieHowwoodWard_renfs12-07,STEPHEN MCGEE SNP,0.3,['John CALDWELL Lab'],False,AVG
BarrheadLibosideandUplawmoor_e-renfs17-1.csv,Angela CONVERY SNP,0.3,['Danny DEVLIN Ind'],False,AVG
Cowal_argyll-bute17-06.csv,Alan REID LD,0.3,['Alan REID LD'],False,AVG
InverkeithingAndDalgetyBayWard_fife12-06.csv,Dave WALKER LD,0.3,['Alice MCGARRY SNP'],False,AVG
InvernessWest_PreferenceProfile_V0001_Inverness_West_06052022_161539,Bill BOYD SNP,0.3,['Alex GRAHAM LD'],False,AVG
KirkintillochEastandNorthandTwechar_e-duns17-07.csv,Alison LOTHIAN Con,0.3,['John JAMIESON SNP'],False,AVG
KirkintillochEastandNorthandTwechar_e-duns17-07.csv,Emma SHEPPARD Grn,0.3,['John JAMIESON SNP'],False,AVG
KirkintillochEastandNorthandTwechar_e-duns17-07.csv,Pamela MARSHALL SNP,0.3,['John JAMIESON SNP'],False,AVG
KirkintillochEastandNorthandTwechar_e-duns17-07.csv,Stewart MACDONALD Lab,0.3,['John JAMIESON SNP'],False,AVG
KirkintillochEastandNorthandTwechar_e-duns17-07.csv,Susan MURRAY LD,0.3,['John JAMIESON SNP'],False,AVG
KirkintillochEastandNorthandTwechar_e-duns17-07.csv,Willie PATERSON Ind,0.3,['John JAMIESON SNP'],False,AVG
NewtonMearnsSouthWard_e-renfs12-05.csv,Frank ANGELL SNP,0.3,['Jim SWIFT Con'],False,AVG
StirlingNorth_stirling17-04,Jim THOMSON SNP,0.3,['Susan MCGILL SNP'],False,AVG
Ward3-AyrNorth_south ayrshire2022ward 3,Ian DAVIS Con,0.3,['Laura BRENNAN-WHITEFIELD SNP'],False,AVG
Ward4-AyrEast_south ayrshire2022ward 4,Ian DOUGLAS SNP,0.3,['Chris CULLEN SNP'],False,AVG
Ward9-BurntislandKinghornWesternKirkcaldy_PreferenceProfile_V0001_Ward-9-Burntisland-Kinghorn-and-Western-Kirkcaldy_06052022_145551.csv,Andrew Ewan BENTLEY-STEED Independence for Scotland Party UNKNOWN,0.3,['Julie MACDOUGALL Lab'],False,AVG
BannockburnWard_stirling12-07,Gerard MCLAUGHLAN SNP,0.4,['Margaret BRISLEY Lab'],False,AVG
Cowal_argyll-bute17-06.csv,Alan REID LD,0.4,['Alan REID LD'],False,AVG
InvernessWest_PreferenceProfile_V0001_Inverness_West_06052022_161539,Bill BOYD SNP,0.4,['Alex GRAHAM LD'],False,AVG
KirkintillochEastandNorthandTwechar_e-duns17-07.csv,Alison LOTHIAN Con,0.4,['John JAMIESON SNP'],False,AVG
KirkintillochEastandNorthandTwechar_e-duns17-07.csv,Emma SHEPPARD Grn,0.4,['John JAMIESON SNP'],False,AVG
KirkintillochEastandNorthandTwechar_e-duns17-07.csv,Pamela MARSHALL SNP,0.4,['John JAMIESON SNP'],False,AVG
KirkintillochEastandNorthandTwechar_e-duns17-07.csv,Stewart MACDONALD Lab,0.4,['John JAMIESON SNP'],False,AVG
KirkintillochEastandNorthandTwechar_e-duns17-07.csv,Susan MURRAY LD,0.4,['John JAMIESON SNP'],False,AVG
KirkintillochEastandNorthandTwechar_e-duns17-07.csv,Willie PATERSON Ind,0.4,['John JAMIESON SNP'],False,AVG
TrossachsandTeith_stirling17-01,Evelyn TWEED SNP,0.4,['Martin EARL Con'],False,AVG
Ward13-GlenrothesWestKinglassie_PreferenceProfile_V0001_Ward-13-Glenrothes-West-and-Kinglassie_06052022_145551.csv,Ian ROBERTSON UNKNOWN,0.4,['Julie Christina FORD SNP'],False,AVG
Ward2-InverclydeEastCentral_PreferenceProfile_Ward-2,James KELLY Con,0.4,['Robert MORAN Lab'],False,AVG
Ward22Dennistoun_Ward22,Lorna FINN SNP,0.4,['Allan CASEY SNP'],False,AVG
Ward4-Selkirkshire_sc-borders17-04,Nancy NORMAN LD,0.4,['Michelle BALLANTYNE Con'],False,AVG
Ward5-PeterheadNorthandRattray_aberdeenshire17-05.csv,Anne Margaret ALLAN SNP,0.4,['Dianne BEAGRIE Con'],False,AVG
Ward6HaddingtonandLammermuir_e-lothian12-06.csv,Tom TROTTER SNP,0.4,['John MCMILLAN Lab'],False,AVG
InvernessWest_PreferenceProfile_V0001_Inverness_West_06052022_161539,Bill BOYD SNP,0.5,['Alex GRAHAM LD'],False,AVG
KirkintillochEastandNorthandTwechar_e-duns17-07.csv,Alison LOTHIAN Con,0.5,['John JAMIESON SNP'],False,AVG
KirkintillochEastandNorthandTwechar_e-duns17-07.csv,Emma SHEPPARD Grn,0.5,['John JAMIESON SNP'],False,AVG
KirkintillochEastandNorthandTwechar_e-duns17-07.csv,Pamela MARSHALL SNP,0.5,['John JAMIESON SNP'],False,AVG
KirkintillochEastandNorthandTwechar_e-duns17-07.csv,Stewart MACDONALD Lab,0.5,['John JAMIESON SNP'],False,AVG
KirkintillochEastandNorthandTwechar_e-duns17-07.csv,Susan MURRAY LD,0.5,['John JAMIESON SNP'],False,AVG
KirkintillochEastandNorthandTwechar_e-duns17-07.csv,Willie PATERSON Ind,0.5,['John JAMIESON SNP'],False,AVG
Ward21NorthEast_glasgow17-021.csv,Maureen BURKE Lab,0.5,['Ruairi KELLY SNP'],False,AVG
Ward4-Highland_perth-kinross17-04,Kenneth Robertson SPITTAL LD,0.5,['Ian CAMPBELL Con'],False,AVG
Ward6-ElginCityNorth_file141913,Rebecca Jane KAIL Grn,0.5,['Sandy KEITH Lab'],False,AVG
TweeddaleEastWard_sc-borders12-02,David COXInd,0.0,"['Gavin LOGAN Con', 'Stuart BELL SNP']",True,OM
TweeddaleEastWard_sc-borders12-02,Frances PRINGLE Scottish Borders,0.0,"['Gavin LOGAN Con', 'Stuart BELL SNP']",True,OM
TweeddaleEastWard_sc-borders12-02,Gavin LOGAN Con,0.0,"['Gavin LOGAN Con', 'Stuart BELL SNP']",True,OM
