file,first_flip_percent,method
SteornabhaghaDeas_eilean-siar17-06.csv,0.3,AVG
Stevenston_n-ayrshire17-04,0.3,AVG
Tillydrone-Seaton-OldAberdeenWard_Ward6.csv,0.3,AVG
TillydroneSeatonOldAberdeenWard_aberdeen17-06.csv,0.3,AVG
Torry-FerryhillWard_Ward12.csv,0.3,AVG
TorryFerryhillWard_aberdeen17-12.csv,0.3,AVG
Ward05-ArdrossanandArran_n-ayrshire12-05,0.3,AVG
Ward07-IrvineWest_Preference-Profile-Irvine-West_copy,0.3,AVG
Ward1-BanffandDistrict_ward1.csv,0.3,AVG
Ward10-WestGarioch_preferenceprofile_v0001_ward-10-west-garioch_06052022_172124.csv,0.3,AVG
Ward10Anderston-City-Yorkhill_Ward10,0.3,AVG
Ward10AnderstonCityYorkhill_glasgow17-010.csv,0.3,AVG
Ward11-KirkcaldyCentral_fife17-11.csv,0.3,AVG
Ward11Hillhead_glasgow12-11.csv,0.3,AVG
Ward12-ErskineandInchinnan_renfs17-12,0.3,AVG
Ward12-KirkcaldyEast_fife17-12.csv,0.3,AVG
Ward12-PerthCityCentre_Ward12,0.3,AVG
Ward12-Torry-Ferryhill_aberdeen12-12.csv,0.3,AVG
Ward13GarscaddenScotstounhill_glasgow17-013.csv,0.3,AVG
Ward14-InvernessCentral_highland17-14,0.3,AVG
Ward14DrumchapelAnniesland_glasgow17-014.csv,0.3,AVG
Ward15-GlenrothesCentralThornton_fife17-15.csv,0.3,AVG
Ward16Canal_Ward16,0.3,AVG
Ward16Canal_glasgow17-016.csv,0.3,AVG
Ward17-CullodenandArdersier_highland17-17,0.3,AVG
Ward17-NorthKincardine_preferenceprofile_v0001_ward-17-north-kincardine_06052022_172124.csv,0.3,AVG
Ward18-StonehavenandLowerDeeside_preferenceprofile_v0001_ward-18-stonehaven-and-lower-deeside_06052022_172124.csv,0.3,AVG
Ward19-InvernessSouth_Highland 2024 by-election Ward 19,0.3,AVG
Ward19-InvernessSouth_highland17-19,0.3,AVG
Ward1ClackmannanshireWest_clacks17-001.csv,0.3,AVG
Ward1Linn_Ward1,0.3,AVG
Ward2-BridgeofDon_aberdeen12-02.csv,0.3,AVG
Ward2-BroxburnUphallandWinchburgh_w-lothian17-02,0.3,AVG
Ward2-ThursoandNorthwestCaithness_highland17-02,0.3,AVG
Ward20-BadenochandStrathspey_highland17-20,0.3,AVG
Ward20-Murdostoun_n-lanarks17-020,0.3,AVG
Ward2ClackmannanshireNorth_clacks17-002.csv,0.3,AVG
Ward2ClackmannanshireNorth_ward2.csv,0.3,AVG
Ward3-DennyandBanknock_falkirk17-03.csv,0.3,AVG
Ward3-DunfermlineCentral_fife17-03.csv,0.3,AVG
Ward3-GalashielsDistrict_sc borders2022ward 3,0.3,AVG
Ward3-GalashielsandDistrict_sc-borders17-03,0.3,AVG
Ward3-Mid-Argyll_ward3.csv,0.3,AVG
Ward3-PaisleyNortheastandRalston_renfs17-03,0.3,AVG
Ward3-ShetlandWest_shetland17-03,0.3,AVG
Ward3-StromnessandSouthIslesWard_ward3,0.3,AVG
Ward4-CastleDouglasandCrocketford_ward4.csv,0.3,AVG
Ward4-CentralBuchan_preferenceprofile_v0001_ward-4-central-buchan_06052022_172124.csv,0.3,AVG
Ward4-DunfermlineSouth_PreferenceProfile_V0001_Ward-4-Dunfermline-South_06052022_151924.csv,0.3,AVG
Ward4-EastSutherlandandEdderton_highland17-04,0.3,AVG
Ward4-Forth_edinburgh17-04.csv,0.3,AVG
Ward4-InverclydeNorth_PreferenceProfile_Ward-4,0.3,AVG
Ward4-PaisleyNorthwest_Preference_profile_for_Ward_4_Paisley_Northwest_copy,0.3,AVG
Ward4-PaisleyNorthwest_renfs17-04,0.3,AVG
Ward4-Selkirkshire_sc-borders17-04,0.3,AVG
Ward4Cardonald_glasgow17-004.csv,0.3,AVG
Ward4ClarkstonNetherleeandWilliamwood_ward4_copy.csv,0.3,AVG
Ward5-EastLivingstonandEastCalder_west lothian2022ward 5,0.3,AVG
Ward5-ObanNorthandLorn_ward5.csv,0.3,AVG
Ward5-PeterheadNorthandRattray_preferenceprofile_v0001_ward-5-peterhead-north-and-rattray_06052022_172118.csv,0.3,AVG
Ward5-Rosyth_fife17-05.csv,0.3,AVG
Ward5Govan_glasgow17-005.csv,0.3,AVG
Ward6-ArbroathWestLethamandFriockheim_ward6.csv,0.3,AVG
Ward6-PaisleySoutheast_Preference_profile_for_Ward_6_Paisley_Southeast_copy,0.3,AVG
Ward6-PaisleySoutheast_renfs17-06,0.3,AVG
Ward7-CoatbridgeNorth_n-lanarks17-007,0.3,AVG
Ward7AnTaobhSiaragusNis_ward07_preferenceprofile.csv,0.3,AVG
Ward8-GeorgeStreet-Harbour_aberdeen12-08.csv,0.3,AVG
Ward8-IsleofBute_ward8.csv,0.3,AVG
Ward8-Kinross-shire_perth-kinross17-08,0.3,AVG
Ward8-MontroseandDistrict_ward8.csv,0.3,AVG
Ward8SouthsideCentral_glasgow17-008.csv,0.3,AVG
Ward9-DoonValley_East Ayrshire by-election 2024 Ward 9,0.3,AVG
Ward9-JohnstoneNorthKilbarchanHowwoodandLochwinnoch_renfs17-09,0.3,AVG
Ward9-LomondNorth_ward9.csv,0.3,AVG
Ward9-UpperBraes_ward9.csv,0.3,AVG
Ward9Calton_Ward9,0.3,AVG
WestEnd_dundee17-03.csv,0.3,AVG
WestMainlandWard_orkney17-04,0.3,AVG
11.ErskineInchinnanWard_renfs12-11,0.4,AVG
4.PaisleyNorthWestWard_renfs12-04,0.4,AVG
5.PaisleySouthWard_renfs12-05,0.4,AVG
Abbey_dumgal17-05.csv,0.4,AVG
AirdandLochNessWard_highland12-13,0.4,AVG
AirdandLochNess_PreferenceProfile_V0001_Aird_and_Loch_Ness_06052022_161539,0.4,AVG
AlmondWard_edinburgh12-01.csv,0.4,AVG
AnnandaleSouthWard_dumgal12-11.csv,0.4,AVG
AnnandaleSouth_dumgal17-10.csv,0.4,AVG
Annick_e-ayrshire17-01.csv,0.4,AVG
ArdrossanandArran_n-ayrshire17-05,0.4,AVG
BadenochandStrathspeyWard_highland12-21,0.4,AVG
Bailliestonward_baillieston.csv,0.4,AVG
Ballochmyle_e-ayrshire17-07.csv,0.4,AVG
Bannockburn_stirling17-07,0.4,AVG
BarrheadLibosideandUplawmoor_e-renfs17-1.csv,0.4,AVG
BarrheadWard_e-renfs12-02.csv,0.4,AVG
Bathgate_w-lothian12-08,0.4,AVG
BearsdenNorth_e-duns12-02.csv,0.4,AVG
BishopbriggsNorthandCampsie_e-duns17-04.csv,0.4,AVG
Bonnyrig0_midlothian12-02_cleaned,0.4,AVG
BrechinandEdzell_angus17-02.csv,0.4,AVG
BridgeofDonWard_Ward2.csv,0.4,AVG
BuckhavenMethilAndWemyssVillagesWard_fife12-23.csv,0.4,AVG
BurntislandKinghornAndWesternKirkcaldyWard_fife12-10.csv,0.4,AVG
Caltonward_calton.csv,0.4,AVG
CaolandMallaigWard_highland12-12,0.4,AVG
CarnoustieandDistrict_angus17-05.csv,0.4,AVG
CastleDouglasandGlenkensWard_dumgal12-05.csv,0.4,AVG
CentralBuchanWard_aberdeenshire12-04.csv,0.4,AVG
ClackmannanshireNorth_clacks12-02.csv,0.4,AVG
ClackmannanshireWest_clacks12-01.csv,0.4,AVG
ClydebankWaterfrontWard_w-duns12-06,0.4,AVG
ClydebankWaterfront_w-duns17-06,0.4,AVG
ColdsideWard_dundee12-04.csv,0.4,AVG
Craigentinny_DuddingstonWard_edinburgh12-14.csv,0.4,AVG
CullodenandArdersier_PreferenceProfile_V0001_Culloden_and_Ardersier_06052022_161539,0.4,AVG
CumnockandNewCumnock_e-ayrshire17-08.csv,0.4,AVG
DUNOONWARD_argyll-bute12-07.csv,0.4,AVG
Dalkeit0_midlothian12-03_cleaned,0.4,AVG
Dalkeith_midlothian17-03,0.4,AVG
DeeWard_dumgal12-04.csv,0.4,AVG
DennyandBanknock_falkirk12-03.csv,0.4,AVG
DingwallandSeaforth_PreferenceProfile_V0001_Dingwall_and_Seaforth_06052022_161539,0.4,AVG
DoonValley_e-ayrshire17-09.csv,0.4,AVG
DrumBrae_GyleWard_edinburgh12-03.csv,0.4,AVG
DumbartonWard_w-duns12-03,0.4,AVG
DunfermlineCentralWard_fife12-03.csv,0.4,AVG
DunfermlineSouthWard_fife12-04.csv,0.4,AVG
Dyce-Bucksburn-DanestoneWard_Ward1.csv,0.4,AVG
DyceBucksburnDanestoneWard_Aberdeen_2023_by_election_Dyce_Bucksburn_Danestone,0.4,AVG
DyceBucksburnDanestoneWard_aberdeen17-01.csv,0.4,AVG
EastBerwickshireWard_sc-borders12-07,0.4,AVG
EastEnd_dundee17-07.csv,0.4,AVG
EastGariochWard_aberdeenshire12-12.csv,0.4,AVG
EastSutherlandandEddertonWard_highland12-05,0.4,AVG
Eileana_CheWard_highland12-11,0.4,AVG
FalkirkSouth_falkirk12-07.csv,0.4,AVG
