method,percent,total_flips,clone_wins,spoiler_wins,pct_clone_wins,pct_spoiler_wins
AVG,0.1,7,7,0,100.0,0.0
AVG,0.2,2,2,0,100.0,0.0
AVG,0.3,3,3,0,100.0,0.0
AVG,0.4,10,10,0,100.0,0.0
OM,0.1,11,9,2,81.8,18.2
OM,0.2,10,3,7,30.0,70.0
OM,0.3,33,3,30,9.1,90.9
OM,0.4,106,12,94,11.3,88.7
OM,0.5,191,173,18,90.6,9.4
PM,0.1,7,7,0,100.0,0.0
PM,0.2,2,2,0,100.0,0.0
PM,0.3,3,3,0,100.0,0.0
PM,0.4,10,10,0,100.0,0.0
