,plurality,plurality_runoff,IRV,smith_irv,smith_plurality,minimax,smith_minimax,ranked_pairs,Borda_PM,Borda_OM,Borda_AVG,bucklin,TVR_PM,TVR_OM,TVR_AVG,diversity_score_threshold,friendly_fire_inst,friendly_fire_seq_smith,friendly_fire_inst_smith,friendly_fire_inst_smith_exp
upMono,,,,,,,,,,,,,,,,,,,,
downMono,,,,,,,,,,,,,,,,,,,,
noShow,,,,,,,,,,,,,,,,,,,,
laterNoHarm,0,0,0,0,0,0,0,0,340,179,307,190,3,1,0,0,0,0,0,0
strat_compromise,57,4,2,0,0,0,0,0,24,70,45,14,0,0,0,0,0,0,0,0
strat_truncate_L,0,0,0,1,1,1,1,1,59,0,12,97,2,0,2,0,0,0,0,0
strat_truncate_W,0,0,0,1,3,3,3,3,59,0,48,96,3,1,2,0,0,0,0,0
strat_bury_shallow,0,0,0,1,4,8,8,8,56,110,69,93,6,8,7,1,0,0,0,0
strat_bury_deep,0,0,0,1,15,60,60,62,47,324,169,19,18,144,32,0,8,0,10,12
