,plurality,plurality_runoff,IRV,smith_irv,smith_plurality,minimax,smith_minimax,ranked_pairs,Borda_PM,Borda_OM,Borda_AVG,bucklin,TVR_PM,TVR_OM,TVR_AVG,diversity_score_threshold,friendly_fire_inst,friendly_fire_seq_smith,friendly_fire_inst_smith,friendly_fire_inst_smith_exp
upMono,,,,,,,,,,,,,,,,,,,,
downMono,,,,,,,,,,,,,,,,,,,,
noShow,,,,,,,,,,,,,,,,,,,,
laterNoHarm,0,0,0,8,5,5,5,5,634,599,627,557,9,17,7,7,7,8,7,7
strat_compromise,285,37,21,7,7,5,5,5,114,212,144,62,8,14,7,8,8,7,6,6
strat_truncate_L,0,0,0,12,8,8,8,10,267,0,90,371,18,0,9,3,0,0,0,0
strat_truncate_W,0,0,0,14,18,36,36,40,267,0,199,370,45,9,36,14,1,0,1,4
strat_bury_shallow,0,0,0,11,23,63,63,68,211,225,214,256,69,56,66,15,13,1,16,5
strat_bury_deep,0,0,0,11,78,194,191,207,87,584,295,128,128,332,212,14,242,55,245,182
