file,threshold,winner
SG2301 LA Pref Data Wollondilly.csv,AVG,HANNAN Judy
SG2301 LA Pref Data Liverpool.csv,OM,KALIYANDA Charishma
SG2301 LA Pref Data Liverpool.csv,PM,KALIYANDA Charishma
SG2301 LA Pref Data Liverpool.csv,AVG,KALIYANDA Charishma
SG2301 LA Pref Data Maitland.csv,OM,AITCHISON Jenny
SG2301 LA Pref Data Maitland.csv,PM,AITCHISON Jenny
SG2301 LA Pref Data Maitland.csv,AVG,AITCHISON Jenny
SG2301 LA Pref Data Goulburn.csv,OM,TUCKERMAN Wendy
SG2301 LA Pref Data Goulburn.csv,PM,TUCKERMAN Wendy
SG2301 LA Pref Data Goulburn.csv,AVG,TUCKERMAN Wendy
SG2301 LA Pref Data Upper Hunter.csv,OM,LAYZELL Dave
SG2301 LA Pref Data Upper Hunter.csv,PM,LAYZELL Dave
SG2301 LA Pref Data Upper Hunter.csv,AVG,LAYZELL Dave
SG2301 LA Pref Data Cabramatta.csv,OM,VO Tri
SG2301 LA Pref Data Cabramatta.csv,PM,VO Tri
SG2301 LA Pref Data Cabramatta.csv,AVG,VO Tri
SG2301 LA Pref Data Hornsby.csv,OM,KEAN Matt
SG2301 LA Pref Data Hornsby.csv,PM,KEAN Matt
SG2301 LA Pref Data Hornsby.csv,AVG,KEAN Matt
SG2301 LA Pref Data Badgerys Creek.csv,OM,DAVIES Tanya
SG2301 LA Pref Data Badgerys Creek.csv,PM,DAVIES Tanya
SG2301 LA Pref Data Badgerys Creek.csv,AVG,DAVIES Tanya
SG2301 LA Pref Data Campbelltown.csv,OM,WARREN Greg
SG2301 LA Pref Data Campbelltown.csv,PM,WARREN Greg
SG2301 LA Pref Data Campbelltown.csv,AVG,WARREN Greg
SG2301 LA Pref Data Willoughby.csv,OM,JAMES Tim
SG2301 LA Pref Data Willoughby.csv,PM,JAMES Tim
SG2301 LA Pref Data Willoughby.csv,AVG,JAMES Tim
SG2301 LA Pref Data Heffron.csv,OM,HOENIG Ron
SG2301 LA Pref Data Heffron.csv,PM,HOENIG Ron
SG2301 LA Pref Data Heffron.csv,AVG,HOENIG Ron
SG2301 LA Pref Data Kellyville.csv,OM,WILLIAMS Ray
