file,threshold,winner
SGE2015 LA Pref Data_NA_Mulgoa.csv,PM,DAVIES Tanya
SGE2015 LA Pref Data_NA_Mulgoa.csv,AVG,DAVIES Tanya
SGE2015 LA Pref Data_NA_Willoughby.csv,OM,BEREJIKLIAN Gladys
SGE2015 LA Pref Data_NA_Willoughby.csv,PM,BEREJIKLIAN Gladys
SGE2015 LA Pref Data_NA_Willoughby.csv,AVG,BEREJIKLIAN Gladys
SGE2015 LA Pref Data_NA_Blue Mountains.csv,OM,DOYLE Trish
SGE2015 LA Pref Data_NA_Blue Mountains.csv,PM,DOYLE Trish
SGE2015 LA Pref Data_NA_Blue Mountains.csv,AVG,DOYLE Trish
SGE2015 LA Pref Data_NA_Liverpool.csv,OM,LYNCH Paul
SGE2015 LA Pref Data_NA_Liverpool.csv,PM,LYNCH Paul
SGE2015 LA Pref Data_NA_Liverpool.csv,AVG,LYNCH Paul
SGE2015 LA Pref Data_NA_Balmain.csv,OM,PARKER Jamie
SGE2015 LA Pref Data_NA_Balmain.csv,PM,PARKER Jamie
SGE2015 LA Pref Data_NA_Balmain.csv,AVG,PARKER Jamie
SGE2015 LA Pref Data_NA_Newtown.csv,OM,LEONG Jenny
SGE2015 LA Pref Data_NA_Newtown.csv,PM,LEONG Jenny
SGE2015 LA Pref Data_NA_Newtown.csv,AVG,LEONG Jenny
SGE2015 LA Pref Data_NA_Port Stephens.csv,OM,WASHINGTON Kate
SGE2015 LA Pref Data_NA_Port Stephens.csv,PM,WASHINGTON Kate
SGE2015 LA Pref Data_NA_Port Stephens.csv,AVG,WASHINGTON Kate
SGE2015 LA Pref Data_NA_Oxley.csv,OM,PAVEY Melinda
SGE2015 LA Pref Data_NA_Oxley.csv,PM,PAVEY Melinda
SGE2015 LA Pref Data_NA_Oxley.csv,AVG,PAVEY Melinda
SGE2015 LA Pref Data_NA_Kiama.csv,OM,WARD Gareth
SGE2015 LA Pref Data_NA_Kiama.csv,PM,WARD Gareth
SGE2015 LA Pref Data_NA_Kiama.csv,AVG,WARD Gareth
