,Unnamed: 0,file,threshold,winner,rounds,candsLeft,numCands
49,49,Ward3-DeeandGlenkens_ward3.csv,0.09,Dougie CAMPBELL (Ind),5,3,7
50,50,Ward2-KintyreandtheIslands_ward2.csv,0.0,John MCALPINE (Ind),5,2,6
51,51,Ward2-KintyreandtheIslands_ward2.csv,0.01,John MCALPINE (Ind),5,2,6
52,52,Ward2-KintyreandtheIslands_ward2.csv,0.02,Dougie MCFADZEAN (SNP),5,2,6
53,53,Ward2-KintyreandtheIslands_ward2.csv,0.03,Dougie MCFADZEAN (SNP),5,2,6
54,54,Ward2-KintyreandtheIslands_ward2.csv,0.04,Dougie MCFADZEAN (SNP),5,2,6
55,55,Ward2-KintyreandtheIslands_ward2.csv,0.05,John MCALPINE (Ind),5,2,6
56,56,Ward2-KintyreandtheIslands_ward2.csv,0.06,John MCALPINE (Ind),5,2,6
57,57,Ward2-KintyreandtheIslands_ward2.csv,0.07,John MCALPINE (Ind),5,2,6
58,58,Ward2-KintyreandtheIslands_ward2.csv,0.08,John MCALPINE (Ind),5,2,6
59,59,Ward2-KintyreandtheIslands_ward2.csv,0.09,John MCALPINE (Ind),5,2,6
60,60,Minneapolis_11022021_CityCouncilWard2.csv,0.0,Cam Gordon,2,4,5
61,61,Minneapolis_11022021_CityCouncilWard2.csv,0.01,Robin Wonsley Worlobah,4,2,5
62,62,Minneapolis_11022021_CityCouncilWard2.csv,0.02,Cam Gordon,4,2,5
63,63,Minneapolis_11022021_CityCouncilWard2.csv,0.03,Cam Gordon,4,2,5
64,64,Minneapolis_11022021_CityCouncilWard2.csv,0.04,Robin Wonsley Worlobah,4,2,5
65,65,Minneapolis_11022021_CityCouncilWard2.csv,0.05,Robin Wonsley Worlobah,4,2,5
66,66,Minneapolis_11022021_CityCouncilWard2.csv,0.06,Yusra Arab,4,2,5
67,67,Minneapolis_11022021_CityCouncilWard2.csv,0.07,Robin Wonsley Worlobah,4,2,5
68,68,Minneapolis_11022021_CityCouncilWard2.csv,0.08,Robin Wonsley Worlobah,4,2,5
69,69,Minneapolis_11022021_CityCouncilWard2.csv,0.09,Yusra Arab,4,2,5
70,70,Ward4-CumbernauldEast_n-lanarks17-004.csv,0.0,Tom JOHNSTON (SNP),4,5,8
71,71,Ward4-CumbernauldEast_n-lanarks17-004.csv,0.01,Tom JOHNSTON (SNP),4,5,8
72,72,Ward4-CumbernauldEast_n-lanarks17-004.csv,0.02,Tom JOHNSTON (SNP),7,2,8
73,73,Ward4-CumbernauldEast_n-lanarks17-004.csv,0.03,Tom JOHNSTON (SNP),5,4,8
74,74,Ward4-CumbernauldEast_n-lanarks17-004.csv,0.04,Tom JOHNSTON (SNP),5,4,8
75,75,Ward4-CumbernauldEast_n-lanarks17-004.csv,0.05,Tom JOHNSTON (SNP),6,3,8
76,76,Ward4-CumbernauldEast_n-lanarks17-004.csv,0.06,Tom JOHNSTON (SNP),6,3,8
77,77,Ward4-CumbernauldEast_n-lanarks17-004.csv,0.07,Tom JOHNSTON (SNP),6,3,8
78,78,Ward4-CumbernauldEast_n-lanarks17-004.csv,0.08,Tom JOHNSTON (SNP),6,3,8
79,79,Ward4-CumbernauldEast_n-lanarks17-004.csv,0.09,Tom JOHNSTON (SNP),6,3,8
80,80,Ward21NorthEast_glasgow17-021.csv,0.0,Ruairi KELLY (SNP),8,1,8
81,81,Ward21NorthEast_glasgow17-021.csv,0.01,Ruairi KELLY (SNP),8,1,8
82,82,Ward21NorthEast_glasgow17-021.csv,0.02,Ruairi KELLY (SNP),8,1,8
83,83,Ward21NorthEast_glasgow17-021.csv,0.03,Ruairi KELLY (SNP),8,1,8
84,84,Ward21NorthEast_glasgow17-021.csv,0.04,Ruairi KELLY (SNP),8,1,8
85,85,Ward21NorthEast_glasgow17-021.csv,0.05,Ruairi KELLY (SNP),7,2,8
86,86,Ward21NorthEast_glasgow17-021.csv,0.06,Ruairi KELLY (SNP),7,2,8
87,87,Ward21NorthEast_glasgow17-021.csv,0.07,Ruairi KELLY (SNP),8,1,8
88,88,Ward21NorthEast_glasgow17-021.csv,0.08,Ruairi KELLY (SNP),8,1,8
89,89,Ward21NorthEast_glasgow17-021.csv,0.09,Ruairi KELLY (SNP),8,1,8
90,90,preferenceprofile_v0001_ward-10-west-garioch_06052022_172124.csv,0.0,Sam PAYNE (Con),7,2,8
91,91,preferenceprofile_v0001_ward-10-west-garioch_06052022_172124.csv,0.01,Moray Charles GRANT (SNP),7,2,8
92,92,preferenceprofile_v0001_ward-10-west-garioch_06052022_172124.csv,0.02,Sam PAYNE (Con),7,2,8
93,93,preferenceprofile_v0001_ward-10-west-garioch_06052022_172124.csv,0.03,Sam PAYNE (Con),7,2,8
94,94,preferenceprofile_v0001_ward-10-west-garioch_06052022_172124.csv,0.04,Sam PAYNE (Con),7,2,8
95,95,preferenceprofile_v0001_ward-10-west-garioch_06052022_172124.csv,0.05,Sam PAYNE (Con),7,2,8
96,96,preferenceprofile_v0001_ward-10-west-garioch_06052022_172124.csv,0.06,Sam PAYNE (Con),7,2,8
97,97,preferenceprofile_v0001_ward-10-west-garioch_06052022_172124.csv,0.07,Sam PAYNE (Con),7,2,8
98,98,preferenceprofile_v0001_ward-10-west-garioch_06052022_172124.csv,0.08,Sam PAYNE (Con),7,2,8
99,99,preferenceprofile_v0001_ward-10-west-garioch_06052022_172124.csv,0.09,Sam PAYNE (Con),7,2,8
100,100,Oakland_11082022_Schoolboarddistrict4.csv,0.0,MIKE HUTCHINSON,2,2,3
101,101,Oakland_11082022_Schoolboarddistrict4.csv,0.01,MIKE HUTCHINSON,2,2,3
102,102,Oakland_11082022_Schoolboarddistrict4.csv,0.02,MIKE HUTCHINSON,2,2,3
103,103,Oakland_11082022_Schoolboarddistrict4.csv,0.03,MIKE HUTCHINSON,2,2,3
104,104,Oakland_11082022_Schoolboarddistrict4.csv,0.04,PECOLIA MANIGO,2,2,3
105,105,Oakland_11082022_Schoolboarddistrict4.csv,0.05,NICK RESNICK,2,2,3
106,106,Oakland_11082022_Schoolboarddistrict4.csv,0.06,MIKE HUTCHINSON,2,2,3
107,107,Oakland_11082022_Schoolboarddistrict4.csv,0.07,MIKE HUTCHINSON,2,2,3
108,108,Oakland_11082022_Schoolboarddistrict4.csv,0.08,MIKE HUTCHINSON,2,2,3
109,109,Oakland_11082022_Schoolboarddistrict4.csv,0.09,NICK RESNICK,2,2,3
110,110,AnnandaleNorthWard_dumgal12-12.csv,0.0,(Con) Gail MACGREGOR,3,5,7
111,111,AnnandaleNorthWard_dumgal12-12.csv,0.01,(Con) Gail MACGREGOR,3,5,7
112,112,AnnandaleNorthWard_dumgal12-12.csv,0.02,(Con) Gail MACGREGOR,3,5,7
113,113,AnnandaleNorthWard_dumgal12-12.csv,0.03,(Con) Gail MACGREGOR,3,5,7
114,114,AnnandaleNorthWard_dumgal12-12.csv,0.04,(Con) Gail MACGREGOR,3,5,7
115,115,AnnandaleNorthWard_dumgal12-12.csv,0.05,(Con) Gail MACGREGOR,3,5,7
116,116,AnnandaleNorthWard_dumgal12-12.csv,0.06,(Con) Gail MACGREGOR,3,5,7
117,117,AnnandaleNorthWard_dumgal12-12.csv,0.07,(Con) Gail MACGREGOR,3,5,7
118,118,AnnandaleNorthWard_dumgal12-12.csv,0.08,(Con) Gail MACGREGOR,3,5,7
119,119,AnnandaleNorthWard_dumgal12-12.csv,0.09,(Con) Gail MACGREGOR,3,5,7
120,120,Ward3-ForfarandDistrict_ward3.csv,0.0,Ian MCLAREN (Ind),6,3,8
121,121,Ward3-ForfarandDistrict_ward3.csv,0.01,Ian MCLAREN (Ind),7,2,8
122,122,Ward3-ForfarandDistrict_ward3.csv,0.02,Ian MCLAREN (Ind),5,4,8
123,123,Ward3-ForfarandDistrict_ward3.csv,0.03,Ian MCLAREN (Ind),6,3,8
124,124,Ward3-ForfarandDistrict_ward3.csv,0.04,Ian MCLAREN (Ind),6,3,8
125,125,Ward3-ForfarandDistrict_ward3.csv,0.05,Ian MCLAREN (Ind),6,3,8
126,126,Ward3-ForfarandDistrict_ward3.csv,0.06,Ian MCLAREN (Ind),6,3,8
127,127,Ward3-ForfarandDistrict_ward3.csv,0.07,Ian MCLAREN (Ind),6,3,8
128,128,Ward3-ForfarandDistrict_ward3.csv,0.08,Ian MCLAREN (Ind),6,3,8
129,129,Ward3-ForfarandDistrict_ward3.csv,0.09,Ian MCLAREN (Ind),6,3,8
130,130,Ward03-Kilwinning_n-ayrshire12-03.csv,0.0,Joe CULLINANE (Lab),11,1,11
131,131,Ward03-Kilwinning_n-ayrshire12-03.csv,0.01,Joe CULLINANE (Lab),11,1,11
132,132,Ward03-Kilwinning_n-ayrshire12-03.csv,0.02,Joe CULLINANE (Lab),11,1,11
133,133,Ward03-Kilwinning_n-ayrshire12-03.csv,0.03,Joe CULLINANE (Lab),11,1,11
134,134,Ward03-Kilwinning_n-ayrshire12-03.csv,0.04,Joe CULLINANE (Lab),11,1,11
135,135,Ward03-Kilwinning_n-ayrshire12-03.csv,0.05,Joe CULLINANE (Lab),11,1,11
136,136,Ward03-Kilwinning_n-ayrshire12-03.csv,0.06,Joe CULLINANE (Lab),11,1,11
137,137,Ward03-Kilwinning_n-ayrshire12-03.csv,0.07,Joe CULLINANE (Lab),11,1,11
138,138,Ward03-Kilwinning_n-ayrshire12-03.csv,0.08,John FERGUSON (SNP),11,1,11
139,139,Ward03-Kilwinning_n-ayrshire12-03.csv,0.09,John FERGUSON (SNP),11,1,11
140,140,JedburghandDistrictWard_sc-borders12-09.csv,0.0,Len WYSE (Con),4,4,7
141,141,JedburghandDistrictWard_sc-borders12-09.csv,0.01,Jim BROWN (SNP),3,5,7
142,142,JedburghandDistrictWard_sc-borders12-09.csv,0.02,Jim BROWN (SNP),4,4,7
143,143,JedburghandDistrictWard_sc-borders12-09.csv,0.03,Jim BROWN (SNP),4,4,7
144,144,JedburghandDistrictWard_sc-borders12-09.csv,0.04,Jim BROWN (SNP),4,4,7
145,145,JedburghandDistrictWard_sc-borders12-09.csv,0.05,Jim BROWN (SNP),4,4,7
146,146,JedburghandDistrictWard_sc-borders12-09.csv,0.06,Jim BROWN (SNP),4,4,7
147,147,JedburghandDistrictWard_sc-borders12-09.csv,0.07,Jim BROWN (SNP),4,4,7
148,148,JedburghandDistrictWard_sc-borders12-09.csv,0.08,Jim BROWN (SNP),4,4,7
149,149,JedburghandDistrictWard_sc-borders12-09.csv,0.09,Jim BROWN (SNP),4,4,7
150,150,ForfarandDistrict_angus12-03.csv,0.0,(SNP) Lynne DEVINE,6,2,7
151,151,ForfarandDistrict_angus12-03.csv,0.01,(Ind) Ian MCLAREN,6,2,7
152,152,ForfarandDistrict_angus12-03.csv,0.02,(SNP) Glennis MIDDLETON,5,3,7
153,153,ForfarandDistrict_angus12-03.csv,0.03,(SNP) Lynne DEVINE,6,2,7
154,154,ForfarandDistrict_angus12-03.csv,0.04,(SNP) Lynne DEVINE,6,2,7
155,155,ForfarandDistrict_angus12-03.csv,0.05,(SNP) Lynne DEVINE,6,2,7
156,156,ForfarandDistrict_angus12-03.csv,0.06,(Ind) COLIN BROWN,6,2,7
157,157,ForfarandDistrict_angus12-03.csv,0.07,(Ind) COLIN BROWN,6,2,7
158,158,ForfarandDistrict_angus12-03.csv,0.08,(Ind) Ian MCLAREN,6,2,7
159,159,ForfarandDistrict_angus12-03.csv,0.09,(Ind) Ian MCLAREN,6,2,7
