,Unnamed: 0,file,threshold,winner,rounds,candsLeft,numCands
0,0,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.0,John Kelly MILLAR (Lab),5,4,8
1,1,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.01,John Kelly MILLAR (Lab),6,3,8
2,2,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.02,John Kelly MILLAR (Lab),7,2,8
3,3,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.03,John Kelly MILLAR (Lab),6,3,8
4,4,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.04,John Kelly MILLAR (Lab),6,3,8
5,5,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.05,John Kelly MILLAR (Lab),6,3,8
6,6,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.06,John Kelly MILLAR (Lab),6,3,8
7,7,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.07,John Kelly MILLAR (Lab),7,2,8
8,8,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.08,John Kelly MILLAR (Lab),7,2,8
9,9,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.09,John Kelly MILLAR (Lab),7,2,8
10,10,govan_govan.csv,0.0,# ALTERNATIVE NAME 6: Allison Hunter (SNP),10,2,11
11,11,govan_govan.csv,0.01,# ALTERNATIVE NAME 6: Allison Hunter (SNP),10,2,11
12,12,govan_govan.csv,0.02,# ALTERNATIVE NAME 6: Allison Hunter (SNP),10,2,11
13,13,govan_govan.csv,0.03,# ALTERNATIVE NAME 3: Stephen Dornan (Lab),9,3,11
14,14,govan_govan.csv,0.04,# ALTERNATIVE NAME 3: Stephen Dornan (Lab),9,3,11
15,15,govan_govan.csv,0.05,# ALTERNATIVE NAME 3: Stephen Dornan (Lab),9,3,11
16,16,govan_govan.csv,0.06,# ALTERNATIVE NAME 4: John Flanagan (Lab),9,3,11
17,17,govan_govan.csv,0.07,# ALTERNATIVE NAME 3: Stephen Dornan (Lab),10,2,11
18,18,govan_govan.csv,0.08,# ALTERNATIVE NAME 3: Stephen Dornan (Lab),10,2,11
19,19,govan_govan.csv,0.09,# ALTERNATIVE NAME 4: John Flanagan (Lab),10,2,11
20,20,GlenrothesCentralAndThorntonWard_fife12-16.csv,0.0,Ross VETTRAINO (SNP),6,2,7
21,21,GlenrothesCentralAndThorntonWard_fife12-16.csv,0.01,Ian SLOAN (Lab),6,2,7
22,22,GlenrothesCentralAndThorntonWard_fife12-16.csv,0.02,Ross VETTRAINO (SNP),6,2,7
23,23,GlenrothesCentralAndThorntonWard_fife12-16.csv,0.03,Ross VETTRAINO (SNP),6,2,7
24,24,GlenrothesCentralAndThorntonWard_fife12-16.csv,0.04,Ross VETTRAINO (SNP),6,2,7
25,25,GlenrothesCentralAndThorntonWard_fife12-16.csv,0.05,Ross VETTRAINO (SNP),6,2,7
26,26,GlenrothesCentralAndThorntonWard_fife12-16.csv,0.06,Ross VETTRAINO (SNP),6,2,7
27,27,GlenrothesCentralAndThorntonWard_fife12-16.csv,0.07,Ross VETTRAINO (SNP),6,2,7
28,28,GlenrothesCentralAndThorntonWard_fife12-16.csv,0.08,Ross VETTRAINO (SNP),6,2,7
29,29,GlenrothesCentralAndThorntonWard_fife12-16.csv,0.09,Ross VETTRAINO (SNP),6,2,7
30,30,7.JohnstoneSouthElderslie&HowwoodWard_renfs12-07.csv,0.0,John HOOD (Lab),6,3,8
31,31,7.JohnstoneSouthElderslie&HowwoodWard_renfs12-07.csv,0.01,Iain MCMILLAN (Lab),6,3,8
32,32,7.JohnstoneSouthElderslie&HowwoodWard_renfs12-07.csv,0.02,Iain MCMILLAN (Lab),7,2,8
33,33,7.JohnstoneSouthElderslie&HowwoodWard_renfs12-07.csv,0.03,Iain MCMILLAN (Lab),7,2,8
34,34,7.JohnstoneSouthElderslie&HowwoodWard_renfs12-07.csv,0.04,Iain MCMILLAN (Lab),7,2,8
35,35,7.JohnstoneSouthElderslie&HowwoodWard_renfs12-07.csv,0.05,Iain MCMILLAN (Lab),7,2,8
36,36,7.JohnstoneSouthElderslie&HowwoodWard_renfs12-07.csv,0.06,Iain MCMILLAN (Lab),5,4,8
37,37,7.JohnstoneSouthElderslie&HowwoodWard_renfs12-07.csv,0.07,Iain MCMILLAN (Lab),5,4,8
38,38,7.JohnstoneSouthElderslie&HowwoodWard_renfs12-07.csv,0.08,Iain MCMILLAN (Lab),6,3,8
39,39,7.JohnstoneSouthElderslie&HowwoodWard_renfs12-07.csv,0.09,Iain MCMILLAN (Lab),6,3,8
40,40,Ward3-DeeandGlenkens_ward3.csv,0.0,Susan MURDOCH (Con),3,5,7
41,41,Ward3-DeeandGlenkens_ward3.csv,0.01,Dougie CAMPBELL (Ind),4,4,7
42,42,Ward3-DeeandGlenkens_ward3.csv,0.02,John DENERLEY (Con),5,3,7
43,43,Ward3-DeeandGlenkens_ward3.csv,0.03,Dougie CAMPBELL (Ind),5,3,7
44,44,Ward3-DeeandGlenkens_ward3.csv,0.04,Dougie CAMPBELL (Ind),5,3,7
45,45,Ward3-DeeandGlenkens_ward3.csv,0.05,Dougie CAMPBELL (Ind),5,3,7
46,46,Ward3-DeeandGlenkens_ward3.csv,0.06,Dougie CAMPBELL (Ind),5,3,7
47,47,Ward3-DeeandGlenkens_ward3.csv,0.07,Dougie CAMPBELL (Ind),5,3,7
48,48,Ward3-DeeandGlenkens_ward3.csv,0.08,Dougie CAMPBELL (Ind),5,3,7
