percent,borda_type,num_files_changed
0.1,avg,0
0.1,om,0
0.1,pm,0
0.2,avg,0
0.2,om,0
0.2,pm,0
0.3,avg,0
0.3,om,1
0.3,pm,0
0.4,avg,0
0.4,om,1
0.4,pm,0
0.5,avg,0
0.5,om,135
0.5,pm,0
0.6,avg,0
0.6,om,80
0.6,pm,0
0.7,avg,0
0.7,om,23
0.7,pm,0
0.8,avg,0
0.8,om,4
0.8,pm,0
0.9,avg,0
0.9,om,0
0.9,pm,0
