file,candidate_cloned,percent,numCands,om,avg,pm
Eastpointe_11022021_CityCouncil.csv,frozenset({'Sylvia L. Moore'}),0.5,7,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.
Eastpointe_11022021_CityCouncil.csv,frozenset({'Cardi DeMonaco Jr.'}),0.5,7,Clone,Clone,Clone
Eastpointe_11022021_CityCouncil.csv,frozenset({'Tonia Gladney'}),0.5,7,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.
Eastpointe_11022021_CityCouncil.csv,none,0.6,6,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.
Eastpointe_11022021_CityCouncil.csv,frozenset({'Shenita Lloyd'}),0.6,7,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.
Eastpointe_11022021_CityCouncil.csv,frozenset({'Michael Jones'}),0.6,7,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.
Eastpointe_11022021_CityCouncil.csv,frozenset({'Rob Baker'}),0.6,7,TIED,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.
Eastpointe_11022021_CityCouncil.csv,frozenset({'Sylvia L. Moore'}),0.6,7,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.
Eastpointe_11022021_CityCouncil.csv,frozenset({'Cardi DeMonaco Jr.'}),0.6,7,Clone,Clone,Clone
Eastpointe_11022021_CityCouncil.csv,frozenset({'Tonia Gladney'}),0.6,7,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.
Eastpointe_11022021_CityCouncil.csv,none,0.7,6,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.
Eastpointe_11022021_CityCouncil.csv,frozenset({'Shenita Lloyd'}),0.7,7,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.
Eastpointe_11022021_CityCouncil.csv,frozenset({'Michael Jones'}),0.7,7,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.
Eastpointe_11022021_CityCouncil.csv,frozenset({'Rob Baker'}),0.7,7,TIED,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.
Eastpointe_11022021_CityCouncil.csv,frozenset({'Sylvia L. Moore'}),0.7,7,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.
Eastpointe_11022021_CityCouncil.csv,frozenset({'Cardi DeMonaco Jr.'}),0.7,7,Clone,Clone,Clone
Eastpointe_11022021_CityCouncil.csv,frozenset({'Tonia Gladney'}),0.7,7,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.
Eastpointe_11022021_CityCouncil.csv,none,0.8,6,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.
Eastpointe_11022021_CityCouncil.csv,frozenset({'Shenita Lloyd'}),0.8,7,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.
Eastpointe_11022021_CityCouncil.csv,frozenset({'Michael Jones'}),0.8,7,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.
Eastpointe_11022021_CityCouncil.csv,frozenset({'Rob Baker'}),0.8,7,TIED,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.
Eastpointe_11022021_CityCouncil.csv,frozenset({'Sylvia L. Moore'}),0.8,7,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.
Eastpointe_11022021_CityCouncil.csv,frozenset({'Cardi DeMonaco Jr.'}),0.8,7,Clone,Clone,Clone
Eastpointe_11022021_CityCouncil.csv,frozenset({'Tonia Gladney'}),0.8,7,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.
Eastpointe_11022021_CityCouncil.csv,none,0.9,6,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.
Eastpointe_11022021_CityCouncil.csv,frozenset({'Shenita Lloyd'}),0.9,7,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.
Eastpointe_11022021_CityCouncil.csv,frozenset({'Michael Jones'}),0.9,7,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.
Eastpointe_11022021_CityCouncil.csv,frozenset({'Rob Baker'}),0.9,7,TIED,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.
Eastpointe_11022021_CityCouncil.csv,frozenset({'Sylvia L. Moore'}),0.9,7,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.
Eastpointe_11022021_CityCouncil.csv,frozenset({'Cardi DeMonaco Jr.'}),0.9,7,Clone,Clone,Clone
Eastpointe_11022021_CityCouncil.csv,frozenset({'Tonia Gladney'}),0.9,7,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.
Eastpointe_11052019_CityCouncil.csv,none,0.1,4,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido
Eastpointe_11052019_CityCouncil.csv,frozenset({'Harvey Curley'}),0.1,5,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido
Eastpointe_11052019_CityCouncil.csv,frozenset({'Larry Edwards'}),0.1,5,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido
Eastpointe_11052019_CityCouncil.csv,frozenset({'Mary Hall-Rayford'}),0.1,5,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido
Eastpointe_11052019_CityCouncil.csv,frozenset({'Sarah A. Lucido'}),0.1,5,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido
Eastpointe_11052019_CityCouncil.csv,none,0.2,4,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido
Eastpointe_11052019_CityCouncil.csv,frozenset({'Harvey Curley'}),0.2,5,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido
Eastpointe_11052019_CityCouncil.csv,frozenset({'Larry Edwards'}),0.2,5,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido
Eastpointe_11052019_CityCouncil.csv,frozenset({'Mary Hall-Rayford'}),0.2,5,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido
