file,threshold,winner,rounds
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.01,Ross VETTRAINO (SNP),6
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.02,Ross VETTRAINO (SNP),6
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.03,Ross VETTRAINO (SNP),6
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.04,Ross VETTRAINO (SNP),6
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.05,Ross VETTRAINO (SNP),6
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.06,Ross VETTRAINO (SNP),6
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.07,Ross VETTRAINO (SNP),6
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.08,Ross VETTRAINO (SNP),6
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.09,Ross VETTRAINO (SNP),6
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.1,Ross VETTRAINO (SNP),6
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.11,Ross VETTRAINO (SNP),6
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.12,Ross VETTRAINO (SNP),6
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.13,Ross VETTRAINO (SNP),6
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.14,Ross VETTRAINO (SNP),6
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.15,Ross VETTRAINO (SNP),6
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.16,Ross VETTRAINO (SNP),6
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.17,Ross VETTRAINO (SNP),6
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.18,Ross VETTRAINO (SNP),6
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.19,Ross VETTRAINO (SNP),6
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.2,Ross VETTRAINO (SNP),6
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.21,Ross VETTRAINO (SNP),6
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.22,Ross VETTRAINO (SNP),6
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.23,Ross VETTRAINO (SNP),6
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.24,Ross VETTRAINO (SNP),6
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.25,Ross VETTRAINO (SNP),6
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.26,Ross VETTRAINO (SNP),6
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.27,Ross VETTRAINO (SNP),6
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.28,Ross VETTRAINO (SNP),6
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.29,Ross VETTRAINO (SNP),6
7.JohnstoneSouthElderslie&HowwoodWard_renfs12-07.csv,0.0,Iain MCMILLAN (Lab),5
7.JohnstoneSouthElderslie&HowwoodWard_renfs12-07.csv,0.01,Iain MCMILLAN (Lab),7
7.JohnstoneSouthElderslie&HowwoodWard_renfs12-07.csv,0.02,John HOOD (Lab),6
7.JohnstoneSouthElderslie&HowwoodWard_renfs12-07.csv,0.03,John HOOD (Lab),6
7.JohnstoneSouthElderslie&HowwoodWard_renfs12-07.csv,0.04,John HOOD (Lab),6
7.JohnstoneSouthElderslie&HowwoodWard_renfs12-07.csv,0.05,Iain MCMILLAN (Lab),6
7.JohnstoneSouthElderslie&HowwoodWard_renfs12-07.csv,0.06,Iain MCMILLAN (Lab),6
7.JohnstoneSouthElderslie&HowwoodWard_renfs12-07.csv,0.07,Iain MCMILLAN (Lab),6
7.JohnstoneSouthElderslie&HowwoodWard_renfs12-07.csv,0.08,Iain MCMILLAN (Lab),6
7.JohnstoneSouthElderslie&HowwoodWard_renfs12-07.csv,0.09,Iain MCMILLAN (Lab),6
7.JohnstoneSouthElderslie&HowwoodWard_renfs12-07.csv,0.1,Iain MCMILLAN (Lab),6
7.JohnstoneSouthElderslie&HowwoodWard_renfs12-07.csv,0.11,Iain MCMILLAN (Lab),6
7.JohnstoneSouthElderslie&HowwoodWard_renfs12-07.csv,0.12,Iain MCMILLAN (Lab),6
7.JohnstoneSouthElderslie&HowwoodWard_renfs12-07.csv,0.13,Iain MCMILLAN (Lab),6
7.JohnstoneSouthElderslie&HowwoodWard_renfs12-07.csv,0.14,Iain MCMILLAN (Lab),6
7.JohnstoneSouthElderslie&HowwoodWard_renfs12-07.csv,0.15,Iain MCMILLAN (Lab),6
7.JohnstoneSouthElderslie&HowwoodWard_renfs12-07.csv,0.16,Iain MCMILLAN (Lab),6
7.JohnstoneSouthElderslie&HowwoodWard_renfs12-07.csv,0.17,Iain MCMILLAN (Lab),6
7.JohnstoneSouthElderslie&HowwoodWard_renfs12-07.csv,0.18,Iain MCMILLAN (Lab),6
7.JohnstoneSouthElderslie&HowwoodWard_renfs12-07.csv,0.19,Iain MCMILLAN (Lab),6
7.JohnstoneSouthElderslie&HowwoodWard_renfs12-07.csv,0.2,Iain MCMILLAN (Lab),6
7.JohnstoneSouthElderslie&HowwoodWard_renfs12-07.csv,0.21,Iain MCMILLAN (Lab),6
7.JohnstoneSouthElderslie&HowwoodWard_renfs12-07.csv,0.22,Iain MCMILLAN (Lab),6
7.JohnstoneSouthElderslie&HowwoodWard_renfs12-07.csv,0.23,Iain MCMILLAN (Lab),6
7.JohnstoneSouthElderslie&HowwoodWard_renfs12-07.csv,0.24,Iain MCMILLAN (Lab),6
7.JohnstoneSouthElderslie&HowwoodWard_renfs12-07.csv,0.25,Iain MCMILLAN (Lab),6
7.JohnstoneSouthElderslie&HowwoodWard_renfs12-07.csv,0.26,Iain MCMILLAN (Lab),6
7.JohnstoneSouthElderslie&HowwoodWard_renfs12-07.csv,0.27,Iain MCMILLAN (Lab),6
7.JohnstoneSouthElderslie&HowwoodWard_renfs12-07.csv,0.28,Iain MCMILLAN (Lab),6
