file,percent,cloned_candidate,original_ff_winner,new_ff_winner,num_cands
Ward4-CumbernauldEast_n-lanarks17-004.csv,0.4,Claire BARCLAY (SNP),['Tom JOHNSTON (SNP)'],['Clone'],9
Ward4-CumbernauldEast_n-lanarks17-004.csv,0.4,Tom JOHNSTON (SNP),['Tom JOHNSTON (SNP)'],['Claire BARCLAY (SNP)'],9
AnnandaleNorthWard_dumgal12-12.csv,0.5,(Con) Gail MACGREGOR,['(Con) Gail MACGREGOR'],['(Con) Peter DIGGLE'],8
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.5,Ian SLOAN (Lab),['Ian SLOAN (Lab)'],['Ross VETTRAINO (SNP)'],8
JedburghandDistrictWard_sc-borders12-09.csv,0.5,Len WYSE (Con),"['Len WYSE (Con)', 'Rory STEWART (Ind)']",['Rory STEWART (Ind)'],8
JedburghandDistrictWard_sc-borders12-09.csv,0.5,Sandy SCOTT (Con),"['Len WYSE (Con)', 'Rory STEWART (Ind)']",['Rory STEWART (Ind)'],8
JedburghandDistrictWard_sc-borders12-09.csv,0.5,Rory STEWART (Ind),"['Len WYSE (Con)', 'Rory STEWART (Ind)']",['Len WYSE (Con)'],8
JedburghandDistrictWard_sc-borders12-09.csv,0.5,Jim BROWN (SNP),"['Len WYSE (Con)', 'Rory STEWART (Ind)']",['Len WYSE (Con)'],8
Oakland_11082022_Schoolboarddistrict4.csv,0.5,MIKE HUTCHINSON,['MIKE HUTCHINSON'],['NICK RESNICK'],4
Ward03-Kilwinning_n-ayrshire12-03.csv,0.5,Joe CULLINANE (Lab),"['John FERGUSON (SNP)', 'Joe CULLINANE (Lab)']",['Joe CULLINANE (Lab)'],12
Ward03-Kilwinning_n-ayrshire12-03.csv,0.5,John FERGUSON (SNP),"['John FERGUSON (SNP)', 'Joe CULLINANE (Lab)']",['John FERGUSON (SNP)'],12
Ward2-KintyreandtheIslands_ward2.csv,0.5,Robin CURRIE (LD),['John MCALPINE (Ind)'],['Dougie MCFADZEAN (SNP)'],7
Ward21NorthEast_glasgow17-021.csv,0.5,Ruairi KELLY (SNP),"['Maureen BURKE (Lab)', 'Ruairi KELLY (SNP)']",['Ruairi KELLY (SNP)'],9
Ward21NorthEast_glasgow17-021.csv,0.5,Maureen BURKE (Lab),"['Maureen BURKE (Lab)', 'Ruairi KELLY (SNP)']",['Maureen BURKE (Lab)'],9
Ward3-DeeandGlenkens_ward3.csv,0.5,Susan MURDOCH (Con),['Susan MURDOCH (Con)'],['Dougie CAMPBELL (Ind)'],8
Ward4-CumbernauldEast_n-lanarks17-004.csv,0.5,Tom JOHNSTON (SNP),['Tom JOHNSTON (SNP)'],['Claire BARCLAY (SNP)'],9
