file,method,candidate_cloned,percent,baseline_winner,new_winner
SGE2015 LA Pref Data_NA_Upper Hunter,OM,RUSH Martin,0.4,JOHNSEN Michael,RUSH Martin
SGE2015 LA Pref Data_NA_Upper Hunter,OM,RUSH Martin,0.5,JOHNSEN Michael,Clone
SGE2015 LA Pref Data_NA_Upper Hunter,OM,WATTS Lee,0.5,JOHNSEN Michael,RUSH Martin
SGE2019 LA Pref Data Bega,OM,ATKINSON Leanne,0.5,CONSTANCE Andrew,Clone
SGE2019 LA Pref Data Dubbo,OM,DICKERSON Mathew,0.3,SAUNDERS Dugald,DICKERSON Mathew
SGE2019 LA Pref Data Dubbo,OM,DICKERSON Mathew,0.4,SAUNDERS Dugald,DICKERSON Mathew
SGE2019 LA Pref Data Dubbo,OM,DICKERSON Mathew,0.5,SAUNDERS Dugald,Clone
SGE2019 LA Pref Data East Hills,OM,MURPHY Cameron,0.1,LINDSAY Wendy,MURPHY Cameron
SGE2019 LA Pref Data East Hills,OM,MURPHY Cameron,0.2,LINDSAY Wendy,MURPHY Cameron
SGE2019 LA Pref Data East Hills,OM,MURPHY Cameron,0.3,LINDSAY Wendy,MURPHY Cameron
SGE2019 LA Pref Data East Hills,OM,MURPHY Cameron,0.4,LINDSAY Wendy,MURPHY Cameron
SGE2019 LA Pref Data East Hills,OM,MURPHY Cameron,0.5,LINDSAY Wendy,Clone
SGE2019 LA Pref Data Goulburn,OM,STEPHENS Ursula,0.3,TUCKERMAN Wendy,STEPHENS Ursula
SGE2019 LA Pref Data Goulburn,OM,STEPHENS Ursula,0.4,TUCKERMAN Wendy,STEPHENS Ursula
SGE2019 LA Pref Data Goulburn,OM,STEPHENS Ursula,0.5,TUCKERMAN Wendy,Clone
SGE2019 LA Pref Data Heathcote,OM,STUART Maryanne,0.4,EVANS Lee,STUART Maryanne
SGE2019 LA Pref Data Heathcote,OM,STUART Maryanne,0.5,EVANS Lee,Clone
SGE2019 LA Pref Data Holsworthy,OM,KALIYANDA Charishma,0.3,GIBBONS Melanie,KALIYANDA Charishma
SGE2019 LA Pref Data Holsworthy,OM,KALIYANDA Charishma,0.4,GIBBONS Melanie,KALIYANDA Charishma
SGE2019 LA Pref Data Holsworthy,OM,KALIYANDA Charishma,0.5,GIBBONS Melanie,Clone
SGE2019 LA Pref Data Kogarah,OM,YUNG Scott,0.3,MINNS Chris,YUNG Scott
SGE2019 LA Pref Data Kogarah,OM,YUNG Scott,0.4,MINNS Chris,YUNG Scott
SGE2019 LA Pref Data Kogarah,OM,YUNG Scott,0.5,MINNS Chris,Clone
SGE2019 LA Pref Data Londonderry,OM,HILL Belinda,0.5,CAR Prue,Clone
SGE2019 LA Pref Data Port Stephens,OM,ABBOTT Jaimie,0.5,WASHINGTON Kate,Clone
SGE2019 LA Pref Data Riverstone,OM,CHRISTIE Annemarie,0.5,CONOLLY Kevin,Clone
SGE2019 LA Pref Data Seven Hills,OM,OWEN Durga,0.5,TAYLOR Mark,Clone
SGE2019 LA Pref Data Tweed,OM,ELLIOT Craig,0.4,PROVEST Geoff,ELLIOT Craig
SGE2019 LA Pref Data Tweed,OM,ELLIOT Craig,0.5,PROVEST Geoff,Clone
Singleton-mayoral-finalpreferencedatafile,OM,THOMPSON Danny,0.5,MOORE Sue,Clone
Wollondilly-mayoral-finalpreferencedatafile,OM,HANNAN Judy,0.4,GOULD Matt,HANNAN Judy
Wollondilly-mayoral-finalpreferencedatafile,OM,HANNAN Judy,0.5,GOULD Matt,Clone
City_of_Orange-mayoral-finalpreferencedatafile,PM,HAMLING Jason,0.4,HAMLING Jason,Clone
Eurobodalla-mayoral-finalpreferencedatafile,PM,HATCHER Mat,0.4,HATCHER Mat,Clone
