method,percent,elections_w_flip,total_elections,pct_elections
AVG,0.0,0,279,0.0
AVG,0.1,0,279,0.0
AVG,0.2,0,279,0.0
AVG,0.3,0,279,0.0
AVG,0.4,2,279,0.7
AVG,0.5,0,279,0.0
OM,0.0,0,279,0.0
OM,0.1,2,279,0.7
OM,0.2,6,279,2.2
OM,0.3,33,279,11.8
OM,0.4,52,279,18.6
OM,0.5,71,279,25.4
PM,0.0,0,279,0.0
PM,0.1,0,279,0.0
PM,0.2,0,279,0.0
PM,0.3,0,279,0.0
PM,0.4,2,279,0.7
PM,0.5,0,279,0.0
