InverkeithingAndDalgetyBayWard_fife12-06.csv,7,9.0,91.0
KirkcaldyNorthWard_fife12-11.csv,7,8.7,91.3
TayBridgeheadWard_fife12-18.csv,5,17.6,82.4
CuparWard_fife12-21.csv,5,18.4,81.6
GlenrothesNorthLeslieAndMarkinchWard_fife12-15.csv,8,5.9,94.1
DunfermlineSouthWard_fife12-04.csv,7,10.1,89.9
TheLochsWard_fife12-07.csv,6,9.2,90.8
StAndrewsWard_fife12-19.csv,9,6.8,93.2
DunfermlineNorthWard_fife12-02.csv,5,13.8,86.2
DunfermlineCentralWard_fife12-03.csv,7,7.6,92.4
CowdenbeathWard_fife12-08.csv,6,10.3,89.7
KirkcaldyCentralWard_fife12-12.csv,6,10.9,89.1
LochgellyAndCardendenWard_fife12-09.csv,5,11.4,88.6
KirkcaldyEastWard_fife12-13.csv,7,8.6,91.4
Ward5NorthBerwickCoastal_e-lothian12-05.csv,6,9.0,91.0
Ward2MusselburghEastandCarberry_e-lothian12-02.csv,5,15.2,84.8
Ward4Fa'side_e-lothian12-04.csv,7,7.8,92.2
Ward7DunbarandEastLinton_e-lothian12-07.csv,6,11.1,88.9
Ward3Preston-Seton-Gosford_e-lothian12-03.csv,7,7.5,92.5
Ward6HaddingtonandLammermuir_e-lothian12-06.csv,6,10.7,89.3
Ward1MusselburghWest_e-lothian12-01.csv,7,7.3,92.7
"Clarkston,NetherleeandWilliamwood_e-renfs17-4.csv",11,7.9,92.1
NewtonMearnsSouthandEaglesham_e-renfs17-5.csv,8,8.6,91.4
"Barrhead,LibosideandUplawmoor_e-renfs17-1.csv",8,11.3,88.7
NewtonMearnsNorthandNeilston_e-renfs17-2.csv,9,8.2,91.8
GiffnockandThornliebank_e-renfs17-3.csv,9,10.6,89.4
Ward5-HeldonandLaich_file141902.csv,6,13.1,86.9
Ward8-Forres_file141922.csv,6,13.1,86.9
Ward7-ElginCitySouth_file141915.csv,6,17.8,82.2
Ward6-ElginCityNorth_file141913.csv,6,19.4,80.6
Ward2-KeithandCullen_file141894.csv,5,14.7,85.3
Ward4-FochabersLhanbryde_file141896.csv,5,17.3,82.7
Ward1-SpeysideGlenlivet_file141884.csv,5,16.1,83.9
Ward9SteòrnabhaghaTuath_ward09_preferenceprofile.csv,10,5.4,94.6
Ward3UibhistaTuath_ward_03_preferenceprofile.csv,3,43.4,56.6
Ward10SteòrnabhaghaDeas_ward10_preferenceprofile.csv,7,11.1,88.9
ward02_preferenceprofile.csv,8,10.9,89.1
Ward8LochaTuath_ward08_preferenceprofile.csv,5,15.6,84.4
Ward5SgìrenanLoch_ward_05_preferenceprofile.csv,4,24.0,76.0
Ward4NaHearadh_ward_04_preferenceprofile.csv,3,48.4,51.6
Ward7AnTaobhSiaragusNis_ward07_preferenceprofile.csv,6,19.6,80.4
Ward15Maryhill_Ward15.csv,8,11.0,89.0
Ward20Baillieston_Ward20.csv,7,14.5,85.5
Ward22Dennistoun_Ward22.csv,7,15.9,84.1
Ward16Canal_Ward16.csv,10,7.0,93.0
Ward12VictoriaPark_Ward12.csv,6,15.6,84.4
Ward8SouthsideCentral_Ward8.csv,10,8.0,92.0
Ward18EastCentre_Ward18.csv,11,7.2,92.8
Ward6Pollokshields_Ward6.csv,10,8.9,91.1
Ward14Drumchapel-Anniesland_Ward14.csv,10,9.5,90.5
Ward19Shettleston_Ward19.csv,8,11.8,88.2
Ward2Newlands-Auldburn_Ward2.csv,10,8.1,91.9
Ward7Langside_Ward7.csv,9,11.3,88.7
Ward17Springburn-Robroyston_Ward17.csv,8,12.8,87.2
Ward13Garscadden-Scotstounhill_Ward13.csv,8,12.2,87.8
Ward1Linn_Ward1.csv,9,9.6,90.4
Ward4Cardonald_Ward4.csv,9,11.1,88.9
Ward3GreaterPollok_Ward3.csv,11,6.2,93.8
Ward21NorthEast_Ward21.csv,8,12.1,87.9
Ward9Calton_Ward9.csv,9,12.5,87.5
Ward5Govan_Ward5.csv,11,7.0,93.0
Ward11Hillhead_Ward11.csv,6,14.2,85.8
Ward10Anderston-City-Yorkhill_Ward10.csv,10,8.3,91.7
Ward23PartickEast-Kelvindale_Ward23.csv,9,8.5,91.5
EastGariochWard_aberdeenshire12-12.csv,6,16.8,83.2
MearnsWard_aberdeenshire12-19.csv,7,10.4,89.6
EllonandDistrictWard_aberdeenshire12-09.csv,6,15.9,84.1
BanchoryandMidDeesideWard_aberdeenshire12-16.csv,5,18.6,81.4
TroupWard_aberdeenshire12-02.csv,8,6.6,93.4
WesthillandDistrictWard_aberdeenshire12-13.csv,5,20.9,79.1
AboyneUpperDeesideandDonsideWard_aberdeenshire12-15.csv,5,16.6,83.4
FraserburghandDistrictWard_aberdeenshire12-03.csv,10,4.5,95.5
WestGariochWard_aberdeenshire12-10.csv,5,18.7,81.3
TurriffandDistrictWard_aberdeenshire12-07.csv,6,13.5,86.5
HuntlyStrathbogieandHoweofAlfordWard_aberdeenshire12-14.csv,6,12.7,87.3
InverurieandDistrictWard_aberdeenshire12-11.csv,8,8.8,91.2
